Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:2:27,,
Header Version:,1,,
System Temp (C):,32.81,,
Detector Temp (C):,37,,
Humidity (%):,67.57,,
Lamp PD:,737,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.856,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.567306,3832320.000000,10379.000000
1606.515150,2.563605,3808216.000000,10402.000000
1611.364716,2.572582,3779368.000000,10112.000000
1616.205602,2.569342,3749048.000000,10106.000000
1621.037808,2.562875,3720688.000000,10180.000000
1625.861335,2.565316,3690936.000000,10042.000000
1630.676182,2.571626,3658056.000000,9809.000000
1635.482349,2.569005,3623072.000000,9774.000000
1640.279837,2.570239,3580600.000000,9632.000000
1645.068645,2.573055,3531304.000000,9438.000000
1649.848773,2.568572,3473928.000000,9381.000000
1654.620221,2.575722,3406608.000000,9049.000000
1659.382990,2.566711,3337392.000000,9051.000000
1664.137079,2.579485,3267272.000000,8604.000000
1668.882488,2.576259,3199744.000000,8489.000000
1673.619218,2.581349,3128776.000000,8204.000000
1678.347267,2.570054,3062576.000000,8242.000000
1683.066637,2.581584,2991192.000000,7839.000000
1687.777328,2.575802,2921136.000000,7758.000000
1692.479338,2.575379,2850960.000000,7579.000000
1697.172669,2.581172,2780592.000000,7294.000000
1701.857320,2.578831,2711048.000000,7150.000000
1706.533292,2.566320,2642168.000000,7172.000000
1711.200584,2.573614,2574152.000000,6871.000000
1715.859196,2.573120,2505360.000000,6695.000000
1720.509128,2.562106,2439704.000000,6687.000000
1725.150380,2.565327,2374064.000000,6459.000000
1729.782953,2.569626,2313416.000000,6232.000000
1734.406846,2.564736,2253744.000000,6140.000000
1739.022060,2.572715,2200568.000000,5886.000000
1743.628593,2.577510,2146376.000000,5678.000000
1748.226447,2.581528,2092688.000000,5485.000000
1752.815621,2.559926,2037608.000000,5613.000000
1757.396116,2.577362,1984664.000000,5252.000000
1761.967931,2.559406,1931112.000000,5326.000000
1766.531066,2.561078,1882872.000000,5173.000000
1771.085521,2.559085,1836208.000000,5068.000000
1775.631297,2.553390,1791544.000000,5010.000000
1781.301310,2.561630,1738032.000000,4769.000000
1785.827556,2.563135,1693960.000000,4632.000000
1790.345123,2.573238,1653352.000000,4417.000000
1794.854010,2.548463,1613648.000000,4564.000000
1799.354217,2.551579,1572208.000000,4415.000000
1803.845744,2.531439,1531560.000000,4505.000000
1808.328592,2.535689,1493408.000000,4350.000000
1812.802759,2.518513,1457608.000000,4417.000000
1817.268247,2.546908,1425392.000000,4046.000000
1821.725056,2.550581,1393440.000000,3922.000000
1826.173185,2.546655,1360832.000000,3865.000000
1830.612634,2.515670,1328760.000000,4053.000000
1835.043403,2.543695,1298784.000000,3714.000000
1839.465492,2.540438,1271032.000000,3662.000000
1843.878902,2.505817,1245112.000000,3885.000000
1848.283632,2.535293,1219704.000000,3556.000000
1852.679682,2.502804,1197672.000000,3763.000000
1857.067053,2.509716,1174848.000000,3633.000000
1861.445744,2.497403,1152064.000000,3665.000000
