Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:12:29,,
Header Version:,1,,
System Temp (C):,32.83,,
Detector Temp (C):,36,,
Humidity (%):,69.42,,
Lamp PD:,657,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.421,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.202437,3832320.000000,24045.000000
1606.515150,2.208860,3808216.000000,23543.000000
1611.364716,2.211052,3779368.000000,23247.000000
1616.205602,2.213763,3749048.000000,22917.000000
1621.037808,2.217669,3720688.000000,22540.000000
1625.861335,2.215321,3690936.000000,22481.000000
1630.676182,2.225093,3658056.000000,21785.000000
1635.482349,2.224000,3623072.000000,21631.000000
1640.279837,2.225964,3580600.000000,21281.000000
1645.068645,2.225799,3531304.000000,20996.000000
1649.848773,2.230446,3473928.000000,20435.000000
1654.620221,2.231661,3406608.000000,19983.000000
1659.382990,2.236121,3337392.000000,19377.000000
1664.137079,2.235569,3267272.000000,18994.000000
1668.882488,2.242451,3199744.000000,18309.000000
1673.619218,2.247696,3128776.000000,17688.000000
1678.347267,2.247088,3062576.000000,17338.000000
1683.066637,2.252167,2991192.000000,16737.000000
1687.777328,2.253151,2921136.000000,16308.000000
1692.479338,2.257077,2850960.000000,15773.000000
1697.172669,2.263667,2780592.000000,15152.000000
1701.857320,2.256409,2711048.000000,15022.000000
1706.533292,2.269152,2642168.000000,14217.000000
1711.200584,2.265593,2574152.000000,13965.000000
1715.859196,2.267219,2505360.000000,13541.000000
1720.509128,2.267323,2439704.000000,13183.000000
1725.150380,2.269064,2374064.000000,12777.000000
1729.782953,2.270902,2313416.000000,12398.000000
1734.406846,2.272531,2253744.000000,12033.000000
1739.022060,2.276395,2200568.000000,11645.000000
1743.628593,2.273850,2146376.000000,11425.000000
1748.226447,2.278050,2092688.000000,11032.000000
1752.815621,2.270262,2037608.000000,10936.000000
1757.396116,2.277160,1984664.000000,10484.000000
1761.967931,2.270783,1931112.000000,10352.000000
1766.531066,2.261520,1882872.000000,10311.000000
1771.085521,2.276300,1836208.000000,9719.000000
1775.631297,2.275641,1791544.000000,9497.000000
1781.301310,2.270688,1738032.000000,9319.000000
1785.827556,2.259767,1693960.000000,9314.000000
1790.345123,2.257895,1653352.000000,9130.000000
1794.854010,2.265553,1613648.000000,8755.000000
1799.354217,2.246096,1572208.000000,8921.000000
1803.845744,2.253778,1531560.000000,8538.000000
1808.328592,2.250158,1493408.000000,8395.000000
1812.802759,2.244824,1457608.000000,8295.000000
1817.268247,2.237112,1425392.000000,8257.000000
1821.725056,2.247617,1393440.000000,7879.000000
1826.173185,2.225588,1360832.000000,8095.000000
1830.612634,2.227527,1328760.000000,7869.000000
