Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:13:50,,
Header Version:,1,,
System Temp (C):,33.02,,
Detector Temp (C):,36,,
Humidity (%):,68.56,,
Lamp PD:,418,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.408,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.610195,3832320.000000,9403.000000
1606.515150,2.610468,3808216.000000,9338.000000
1611.364716,2.620195,3779368.000000,9062.000000
1616.205602,2.611883,3749048.000000,9163.000000
1621.037808,2.613879,3720688.000000,9052.000000
1625.861335,2.623840,3690936.000000,8776.000000
1630.676182,2.613226,3658056.000000,8913.000000
1635.482349,2.620007,3623072.000000,8691.000000
1640.279837,2.624844,3580600.000000,8494.000000
1645.068645,2.616325,3531304.000000,8543.000000
1649.848773,2.626319,3473928.000000,8213.000000
1654.620221,2.620100,3406608.000000,8170.000000
1659.382990,2.622822,3337392.000000,7954.000000
1664.137079,2.628654,3267272.000000,7683.000000
1668.882488,2.632260,3199744.000000,7462.000000
1673.619218,2.625967,3128776.000000,7403.000000
1678.347267,2.623538,3062576.000000,7287.000000
1683.066637,2.632176,2991192.000000,6977.000000
1687.777328,2.626577,2921136.000000,6902.000000
1692.479338,2.640810,2850960.000000,6519.000000
1697.172669,2.632294,2780592.000000,6484.000000
1701.857320,2.629612,2711048.000000,6361.000000
1706.533292,2.627124,2642168.000000,6235.000000
1711.200584,2.639929,2574152.000000,5898.000000
1715.859196,2.623915,2505360.000000,5956.000000
1720.509128,2.632989,2439704.000000,5680.000000
1725.150380,2.639415,2374064.000000,5446.000000
1729.782953,2.634199,2313416.000000,5371.000000
1734.406846,2.643380,2253744.000000,5123.000000
1739.022060,2.626281,2200568.000000,5203.000000
1743.628593,2.649832,2146376.000000,4807.000000
1748.226447,2.628739,2092688.000000,4920.000000
1752.815621,2.627608,2037608.000000,4803.000000
1757.396116,2.627441,1984664.000000,4680.000000
1761.967931,2.622484,1931112.000000,4606.000000
1766.531066,2.642060,1882872.000000,4293.000000
1771.085521,2.627133,1836208.000000,4333.000000
1775.631297,2.629152,1791544.000000,4208.000000
