Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:4:33,,
Header Version:,1,,
System Temp (C):,32.31,,
Detector Temp (C):,36,,
Humidity (%):,67.13,,
Lamp PD:,780,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.418,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.610519,3832320.000000,9396.000000
1606.515150,2.610003,3808216.000000,9348.000000
1611.364716,2.616521,3779368.000000,9139.000000
1616.205602,2.610180,3749048.000000,9199.000000
1621.037808,2.625647,3720688.000000,8810.000000
1625.861335,2.622851,3690936.000000,8796.000000
1630.676182,2.623731,3658056.000000,8700.000000
1635.482349,2.622312,3623072.000000,8645.000000
1640.279837,2.612146,3580600.000000,8746.000000
1645.068645,2.619079,3531304.000000,8489.000000
1649.848773,2.622476,3473928.000000,8286.000000
1654.620221,2.626311,3406608.000000,8054.000000
1659.382990,2.618475,3337392.000000,8034.000000
1664.137079,2.636296,3267272.000000,7549.000000
1668.882488,2.630344,3199744.000000,7495.000000
1673.619218,2.625498,3128776.000000,7411.000000
1678.347267,2.636054,3062576.000000,7080.000000
1683.066637,2.625443,2991192.000000,7086.000000
1687.777328,2.637021,2921136.000000,6738.000000
1692.479338,2.624338,2850960.000000,6771.000000
1697.172669,2.642391,2780592.000000,6335.000000
1701.857320,2.634763,2711048.000000,6286.000000
1706.533292,2.631464,2642168.000000,6173.000000
1711.200584,2.638459,2574152.000000,5918.000000
1715.859196,2.635143,2505360.000000,5804.000000
1720.509128,2.629334,2439704.000000,5728.000000
1725.150380,2.650807,2374064.000000,5305.000000
1729.782953,2.630094,2313416.000000,5422.000000
1734.406846,2.637152,2253744.000000,5197.000000
1739.022060,2.639157,2200568.000000,5051.000000
1743.628593,2.642575,2146376.000000,4888.000000
1748.226447,2.642550,2092688.000000,4766.000000
1752.815621,2.621503,2037608.000000,4871.000000
1757.396116,2.649425,1984664.000000,4449.000000
1761.967931,2.628752,1931112.000000,4540.000000
1766.531066,2.613103,1882872.000000,4589.000000
1771.085521,2.648287,1836208.000000,4127.000000
1775.631297,2.628533,1791544.000000,4214.000000
1781.301310,2.615054,1738032.000000,4217.000000
1785.827556,2.648548,1693960.000000,3805.000000
1790.345123,2.640874,1653352.000000,3780.000000
1794.854010,2.652231,1613648.000000,3594.000000
1799.354217,2.644329,1572208.000000,3566.000000
1803.845744,2.632223,1531560.000000,3572.000000
1808.328592,2.645647,1493408.000000,3377.000000
1812.802759,2.622936,1457608.000000,3473.000000
1817.268247,2.652191,1425392.000000,3175.000000
1821.725056,2.664225,1393440.000000,3019.000000
1826.173185,2.636737,1360832.000000,3141.000000
1830.612634,2.617077,1328760.000000,3209.000000
1835.043403,2.633099,1298784.000000,3023.000000
1839.465492,2.644011,1271032.000000,2885.000000
1843.878902,2.646502,1245112.000000,2810.000000
1848.283632,2.624606,1219704.000000,2895.000000
1852.679682,2.649717,1197672.000000,2683.000000
1857.067053,2.651515,1174848.000000,2621.000000
1861.445744,2.676049,1152064.000000,2429.000000
1865.815755,2.651078,1130680.000000,2525.000000
1870.177087,2.655060,1109912.000000,2456.000000
1874.529738,2.638928,1094696.000000,2514.000000
1878.873710,2.639332,1077408.000000,2472.000000
1883.209003,2.623474,1065672.000000,2536.000000
1887.535615,2.610838,1056336.000000,2588.000000
1891.853548,2.627339,1045096.000000,2465.000000
1896.162801,2.614540,1039856.000000,2526.000000
1900.463374,2.632232,1032496.000000,2408.000000
1904.755268,2.654964,1032856.000000,2286.000000
1909.038482,2.663551,1032744.000000,2241.000000
1913.313016,2.661878,1036120.000000,2257.000000
1917.578871,2.668142,1037664.000000,2228.000000
1921.836045,2.627596,1041048.000000,2454.000000
1926.084540,2.644048,1044672.000000,2371.000000
1930.324356,2.621645,1047384.000000,2503.000000
1934.555491,2.666370,1057560.000000,2280.000000
1938.777947,2.656003,1068392.000000,2359.000000
1942.991723,2.695459,1079736.000000,2177.000000
1947.196820,2.668173,1095960.000000,2353.000000
1951.393236,2.644719,1110272.000000,2516.000000
1955.580973,2.655169,1127368.000000,2494.000000
1959.760031,2.638403,1145128.000000,2633.000000
1963.930408,2.653700,1165008.000000,2586.000000
1969.131174,2.685902,1188688.000000,2450.000000
1973.282022,2.647638,1206168.000000,2715.000000
1977.424191,2.688908,1224304.000000,2506.000000
1981.557679,2.658948,1241640.000000,2723.000000
1985.682488,2.682774,1260120.000000,2616.000000
1989.798618,2.669381,1280704.000000,2742.000000
1993.906067,2.673697,1305288.000000,2767.000000
1998.004837,2.665563,1325976.000000,2864.000000
2002.094927,2.667819,1347776.000000,2896.000000
2006.176337,2.695644,1369472.000000,2760.000000
2010.249068,2.671737,1387696.000000,2955.000000
2014.313119,2.695361,1406264.000000,2836.000000
2018.368490,2.668100,1423160.000000,3056.000000
2022.415181,2.658177,1440168.000000,3164.000000
2026.453193,2.670606,1456688.000000,3110.000000
2030.482525,2.671132,1475336.000000,3146.000000
2034.503177,2.669338,1489336.000000,3189.000000
2038.515150,2.670469,1507736.000000,3220.000000
2042.518443,2.658226,1523184.000000,3346.000000
2046.513056,2.685120,1542032.000000,3184.000000
2050.498989,2.667191,1560528.000000,3358.000000
2054.476243,2.684695,1580680.000000,3267.000000
2058.444817,2.695729,1599520.000000,3223.000000
2062.404711,2.691671,1614144.000000,3283.000000
2066.355926,2.670600,1630904.000000,3482.000000
2070.298460,2.653047,1645472.000000,3658.000000
2074.232315,2.665842,1658072.000000,3579.000000
2078.157491,2.681385,1670472.000000,3479.000000
2082.073986,2.659712,1680512.000000,3679.000000
2085.981802,2.689781,1689864.000000,3452.000000
2089.880938,2.677019,1696544.000000,3569.000000
2093.771395,2.682055,1704312.000000,3544.000000
2097.653171,2.677586,1710184.000000,3593.000000
2101.526268,2.673483,1717208.000000,3642.000000
2105.390686,2.685497,1723688.000000,3556.000000
2109.246423,2.703542,1731128.000000,3426.000000
2113.093481,2.672335,1734776.000000,3689.000000
2116.931859,2.678430,1739264.000000,3647.000000
2120.761557,2.690785,1741368.000000,3549.000000
2124.582576,2.695782,1737200.000000,3500.000000
2128.394915,2.676992,1737320.000000,3655.000000
2132.198574,2.680717,1736944.000000,3623.000000
2135.993553,2.681552,1734040.000000,3610.000000
2140.725072,2.675595,1733160.000000,3658.000000
2144.500522,2.669357,1732264.000000,3709.000000
2148.267292,2.683572,1729576.000000,3584.000000
2152.025383,2.695707,1729952.000000,3486.000000
2155.774794,2.682908,1729344.000000,3589.000000
2159.515525,2.691437,1729736.000000,3520.000000
2163.247576,2.664193,1728864.000000,3746.000000
2166.970948,2.697072,1726440.000000,3468.000000
2170.685640,2.666148,1725536.000000,3722.000000
2174.391652,2.713733,1719984.000000,3325.000000
2178.088985,2.686778,1713224.000000,3524.000000
2181.777638,2.681378,1704536.000000,3550.000000
2185.457611,2.697293,1691456.000000,3396.000000
2189.128904,2.686817,1680800.000000,3457.000000
2192.791518,2.638375,1667352.000000,3834.000000
2196.445452,2.698614,1653144.000000,3309.000000
2200.090706,2.682751,1643464.000000,3412.000000
2203.727281,2.684754,1630736.000000,3370.000000
2207.355175,2.665849,1618720.000000,3494.000000
2210.974390,2.668760,1609552.000000,3451.000000
2214.584926,2.707129,1602832.000000,3146.000000
2218.186781,2.674828,1598144.000000,3379.000000
2221.779957,2.674180,1593400.000000,3374.000000
2225.364453,2.670071,1592432.000000,3404.000000
2228.940270,2.658971,1589184.000000,3485.000000
2232.507406,2.709734,1588896.000000,3100.000000
2236.065863,2.686749,1585744.000000,3262.000000
2239.615641,2.682111,1583328.000000,3292.000000
2243.156738,2.648545,1575080.000000,3538.000000
2246.689156,2.646766,1570416.000000,3542.000000
2250.212894,2.643684,1563272.000000,3551.000000
2253.727952,2.628219,1556592.000000,3664.000000
2257.234331,2.643757,1550768.000000,3522.000000
2260.732030,2.644941,1543520.000000,3496.000000
2264.221049,2.626439,1535416.000000,3629.000000
2267.701389,2.618040,1528000.000000,3682.000000
2271.173048,2.613282,1523256.000000,3711.000000
2274.636028,2.622660,1516240.000000,3615.000000
2278.090329,2.617601,1510704.000000,3644.000000
2281.535949,2.606384,1503696.000000,3722.000000
2284.972890,2.590056,1497240.000000,3848.000000
2288.401151,2.585908,1488016.000000,3861.000000
2291.820732,2.573806,1478608.000000,3945.000000
2296.083003,2.549904,1467184.000000,4136.000000
2299.483055,2.558009,1456512.000000,4030.000000
2302.874428,2.565392,1448400.000000,3940.000000
2306.257120,2.561128,1437888.000000,3950.000000
2309.631133,2.518960,1429048.000000,4326.000000
2312.996466,2.543227,1423840.000000,4076.000000
2316.353119,2.505821,1418832.000000,4427.000000
2319.701093,2.508902,1412792.000000,4377.000000
2323.040387,2.480729,1404216.000000,4642.000000
2326.371001,2.476492,1391184.000000,4644.000000
2329.692936,2.476844,1383016.000000,4613.000000
2333.006191,2.456155,1372992.000000,4803.000000
2336.310766,2.450077,1366312.000000,4847.000000
2339.606661,2.422266,1360616.000000,5146.000000
2342.893876,2.421897,1353120.000000,5122.000000
2346.172412,2.417191,1349512.000000,5164.000000
2349.442268,2.400389,1348080.000000,5362.000000
2352.703445,2.392735,1343552.000000,5439.000000
2355.955942,2.373969,1341144.000000,5669.000000
2359.199759,2.392983,1334184.000000,5398.000000
2362.434896,2.360126,1327944.000000,5795.000000
2365.661353,2.353585,1318928.000000,5843.000000
2368.879131,2.346583,1308496.000000,5891.000000
2372.088229,2.344870,1299584.000000,5874.000000
2375.288648,2.324450,1287808.000000,6101.000000
2378.480386,2.333927,1277816.000000,5923.000000
2381.663445,2.326971,1266432.000000,5965.000000
2384.837824,2.320964,1253640.000000,5987.000000
2388.003524,2.327123,1242024.000000,5848.000000
2391.160543,2.323767,1231832.000000,5845.000000
2394.308883,2.318408,1219432.000000,5858.000000
2397.448544,2.309947,1205296.000000,5904.000000
2400.579524,2.313464,1189576.000000,5780.000000
