Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:16:13,,
Header Version:,1,,
System Temp (C):,33.28,,
Detector Temp (C):,36,,
Humidity (%):,66.72,,
Lamp PD:,694,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.388,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.614046,3832320.000000,9320.000000
1606.515150,2.620536,3808216.000000,9124.000000
1611.364716,2.626325,3779368.000000,8935.000000
1616.205602,2.622244,3749048.000000,8947.000000
1621.037808,2.633055,3720688.000000,8661.000000
1625.861335,2.623197,3690936.000000,8789.000000
1630.676182,2.625382,3658056.000000,8667.000000
1635.482349,2.633456,3623072.000000,8426.000000
1640.279837,2.623210,3580600.000000,8526.000000
1645.068645,2.629066,3531304.000000,8296.000000
1649.848773,2.625949,3473928.000000,8220.000000
1654.620221,2.626311,3406608.000000,8054.000000
1659.382990,2.626936,3337392.000000,7879.000000
1664.137079,2.640516,3267272.000000,7476.000000
1668.882488,2.634477,3199744.000000,7424.000000
1673.619218,2.641433,3128776.000000,7144.000000
1678.347267,2.641672,3062576.000000,6989.000000
1683.066637,2.633048,2991192.000000,6963.000000
1687.777328,2.628721,2921136.000000,6868.000000
1692.479338,2.642078,2850960.000000,6500.000000
1697.172669,2.645832,2780592.000000,6285.000000
1701.857320,2.635247,2711048.000000,6279.000000
1706.533292,2.630972,2642168.000000,6180.000000
1711.200584,2.629957,2574152.000000,6035.000000
1715.859196,2.640034,2505360.000000,5739.000000
1720.509128,2.638065,2439704.000000,5614.000000
1725.150380,2.645923,2374064.000000,5365.000000
1729.782953,2.648835,2313416.000000,5193.000000
1734.406846,2.642957,2253744.000000,5128.000000
1739.022060,2.647403,2200568.000000,4956.000000
1743.628593,2.648929,2146376.000000,4817.000000
1748.226447,2.655217,2092688.000000,4629.000000
1752.815621,2.648255,2037608.000000,4580.000000
1757.396116,2.644957,1984664.000000,4495.000000
1761.967931,2.652440,1931112.000000,4299.000000
1766.531066,2.643276,1882872.000000,4281.000000
1771.085521,2.641293,1836208.000000,4194.000000
1775.631297,2.631013,1791544.000000,4190.000000
1781.301310,2.634214,1738032.000000,4035.000000
1785.827556,2.640071,1693960.000000,3880.000000
1790.345123,2.659177,1653352.000000,3624.000000
1794.854010,2.650783,1613648.000000,3606.000000
1799.354217,2.642991,1572208.000000,3577.000000
1803.845744,2.644554,1531560.000000,3472.000000
1808.328592,2.652910,1493408.000000,3321.000000
1812.802759,2.632290,1457608.000000,3399.000000
1817.268247,2.657697,1425392.000000,3135.000000
1821.725056,2.650491,1393440.000000,3116.000000
1826.173185,2.647232,1360832.000000,3066.000000
1830.612634,2.633769,1328760.000000,3088.000000
1835.043403,2.622035,1298784.000000,3101.000000
1839.465492,2.631108,1271032.000000,2972.000000
1843.878902,2.619973,1245112.000000,2987.000000
1848.283632,2.644874,1219704.000000,2763.000000
1852.679682,2.616839,1197672.000000,2894.000000
1857.067053,2.652344,1174848.000000,2616.000000
1861.445744,2.644836,1152064.000000,2610.000000
1865.815755,2.630094,1130680.000000,2650.000000
1870.177087,2.630984,1109912.000000,2596.000000
1874.529738,2.641006,1094696.000000,2502.000000
1878.873710,2.632533,1077408.000000,2511.000000
1883.209003,2.619723,1065672.000000,2558.000000
1887.535615,2.631281,1056336.000000,2469.000000
1891.853548,2.654043,1045096.000000,2318.000000
1896.162801,2.637305,1039856.000000,2397.000000
1900.463374,2.645788,1032496.000000,2334.000000
1904.755268,2.667296,1032856.000000,2222.000000
1909.038482,2.639244,1032744.000000,2370.000000
1913.313016,2.668861,1036120.000000,2221.000000
1917.578871,2.644989,1037664.000000,2350.000000
1921.836045,2.676432,1041048.000000,2193.000000
1926.084540,2.669314,1044672.000000,2237.000000
1930.324356,2.664846,1047384.000000,2266.000000
1934.555491,2.666751,1057560.000000,2278.000000
1938.777947,2.653616,1068392.000000,2372.000000
1942.991723,2.649502,1079736.000000,2420.000000
1947.196820,2.648683,1095960.000000,2461.000000
1951.393236,2.645237,1110272.000000,2513.000000
1955.580973,2.662191,1127368.000000,2454.000000
1959.760031,2.691312,1145128.000000,2331.000000
1963.930408,2.654373,1165008.000000,2582.000000
1969.131174,2.698126,1188688.000000,2382.000000
1973.282022,2.649883,1206168.000000,2701.000000
1977.424191,2.655241,1224304.000000,2708.000000
1981.557679,2.658789,1241640.000000,2724.000000
1985.682488,2.691833,1260120.000000,2562.000000
1989.798618,2.662780,1280704.000000,2784.000000
1993.906067,2.663000,1305288.000000,2836.000000
1998.004837,2.652125,1325976.000000,2954.000000
2002.094927,2.658620,1347776.000000,2958.000000
2006.176337,2.649273,1369472.000000,3071.000000
2010.249068,2.674982,1387696.000000,2933.000000
2014.313119,2.671960,1406264.000000,2993.000000
2018.368490,2.682990,1423160.000000,2953.000000
2022.415181,2.694520,1440168.000000,2910.000000
2026.453193,2.667822,1456688.000000,3130.000000
2030.482525,2.665373,1475336.000000,3188.000000
2034.503177,2.686137,1489336.000000,3068.000000
2038.515150,2.681672,1507736.000000,3138.000000
2042.518443,2.677195,1523184.000000,3203.000000
2046.513056,2.666563,1542032.000000,3323.000000
2050.498989,2.650944,1560528.000000,3486.000000
2054.476243,2.677314,1580680.000000,3323.000000
2058.444817,2.671490,1599520.000000,3408.000000
2062.404711,2.679283,1614144.000000,3378.000000
2066.355926,2.650255,1630904.000000,3649.000000
2070.298460,2.678346,1645472.000000,3451.000000
2074.232315,2.693781,1658072.000000,3356.000000
2078.157491,2.662813,1670472.000000,3631.000000
2082.073986,2.672530,1680512.000000,3572.000000
2085.981802,2.692178,1689864.000000,3433.000000
2089.880938,2.682652,1696544.000000,3523.000000
2093.771395,2.668068,1704312.000000,3660.000000
2097.653171,2.693340,1710184.000000,3465.000000
2101.526268,2.663930,1717208.000000,3723.000000
2105.390686,2.687455,1723688.000000,3540.000000
2109.246423,2.679621,1731128.000000,3620.000000
2113.093481,2.697290,1734776.000000,3483.000000
2116.931859,2.679981,1739264.000000,3634.000000
2120.761557,2.672220,1741368.000000,3704.000000
2124.582576,2.688156,1737200.000000,3562.000000
2128.394915,2.678898,1737320.000000,3639.000000
2132.198574,2.678207,1736944.000000,3644.000000
2135.993553,2.664102,1734040.000000,3758.000000
2140.725072,2.696262,1733160.000000,3488.000000
2144.500522,2.688386,1732264.000000,3550.000000
2148.267292,2.676004,1729576.000000,3647.000000
2152.025383,2.660313,1729952.000000,3782.000000
2155.774794,2.693317,1729344.000000,3504.000000
2159.515525,2.660373,1729736.000000,3781.000000
2163.247576,2.679052,1728864.000000,3620.000000
2166.970948,2.676050,1726440.000000,3640.000000
2170.685640,2.667199,1725536.000000,3713.000000
2174.391652,2.695947,1719984.000000,3464.000000
2178.088985,2.676066,1713224.000000,3612.000000
2181.777638,2.678209,1704536.000000,3576.000000
2185.457611,2.679871,1691456.000000,3535.000000
2189.128904,2.677741,1680800.000000,3530.000000
2192.791518,2.669116,1667352.000000,3572.000000
2196.445452,2.686960,1653144.000000,3399.000000
2200.090706,2.662606,1643464.000000,3574.000000
2203.727281,2.702509,1630736.000000,3235.000000
2207.355175,2.671227,1618720.000000,3451.000000
2210.974390,2.688323,1609552.000000,3299.000000
2214.584926,2.664809,1602832.000000,3468.000000
2218.186781,2.678701,1598144.000000,3349.000000
2221.779957,2.698126,1593400.000000,3193.000000
2225.364453,2.668289,1592432.000000,3418.000000
2228.940270,2.695617,1589184.000000,3203.000000
2232.507406,2.674498,1588896.000000,3362.000000
2236.065863,2.675188,1585744.000000,3350.000000
2239.615641,2.678564,1583328.000000,3319.000000
2243.156738,2.653731,1575080.000000,3496.000000
2246.689156,2.661608,1570416.000000,3423.000000
2250.212894,2.647122,1563272.000000,3523.000000
2253.727952,2.634307,1556592.000000,3613.000000
2257.234331,2.654115,1550768.000000,3439.000000
2260.732030,2.625269,1543520.000000,3658.000000
2264.221049,2.640054,1535416.000000,3517.000000
2267.701389,2.626255,1528000.000000,3613.000000
2271.173048,2.651039,1523256.000000,3402.000000
2274.636028,2.607200,1516240.000000,3746.000000
2278.090329,2.606889,1510704.000000,3735.000000
2281.535949,2.610369,1503696.000000,3688.000000
2284.972890,2.599411,1497240.000000,3766.000000
2288.401151,2.590203,1488016.000000,3823.000000
2291.820732,2.571391,1478608.000000,3967.000000
2296.083003,2.597111,1467184.000000,3710.000000
2299.483055,2.561471,1456512.000000,3998.000000
2302.874428,2.558611,1448400.000000,4002.000000
2306.257120,2.563775,1437888.000000,3926.000000
2309.631133,2.532211,1429048.000000,4196.000000
2312.996466,2.527429,1423840.000000,4227.000000
2316.353119,2.532942,1418832.000000,4159.000000
