Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:6:39,,
Header Version:,1,,
System Temp (C):,32.3,,
Detector Temp (C):,36,,
Humidity (%):,67.13,,
Lamp PD:,657,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.424,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.625185,3832320.000000,9084.000000
1606.515150,2.617784,3808216.000000,9182.000000
1611.364716,2.628420,3779368.000000,8892.000000
1616.205602,2.630971,3749048.000000,8769.000000
1621.037808,2.630605,3720688.000000,8710.000000
1625.861335,2.625228,3690936.000000,8748.000000
1630.676182,2.639488,3658056.000000,8390.000000
1635.482349,2.631707,3623072.000000,8460.000000
1640.279837,2.636555,3580600.000000,8268.000000
1645.068645,2.632535,3531304.000000,8230.000000
1649.848773,2.626954,3473928.000000,8201.000000
1654.620221,2.623730,3406608.000000,8102.000000
1659.382990,2.624737,3337392.000000,7919.000000
1664.137079,2.632515,3267272.000000,7615.000000
1668.882488,2.631504,3199744.000000,7475.000000
1673.619218,2.645648,3128776.000000,7075.000000
1678.347267,2.646986,3062576.000000,6904.000000
1683.066637,2.646541,2991192.000000,6750.000000
1687.777328,2.636312,2921136.000000,6749.000000
1692.479338,2.630215,2850960.000000,6680.000000
1697.172669,2.648118,2780592.000000,6252.000000
1701.857320,2.648948,2711048.000000,6084.000000
1706.533292,2.645332,2642168.000000,5979.000000
1711.200584,2.649458,2574152.000000,5770.000000
1715.859196,2.655125,2505360.000000,5543.000000
1720.509128,2.634521,2439704.000000,5660.000000
1725.150380,2.653847,2374064.000000,5268.000000
1729.782953,2.642773,2313416.000000,5266.000000
1734.406846,2.643719,2253744.000000,5119.000000
1739.022060,2.650923,2200568.000000,4916.000000
1743.628593,2.637979,2146376.000000,4940.000000
1748.226447,2.644651,2092688.000000,4743.000000
1752.815621,2.643821,2037608.000000,4627.000000
1757.396116,2.639103,1984664.000000,4556.000000
