Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:17:20,,
Header Version:,1,,
System Temp (C):,33.45,,
Detector Temp (C):,36,,
Humidity (%):,66.46,,
Lamp PD:,711,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.396,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.461803,3832320.000000,13233.000000
1606.515150,2.460609,3808216.000000,13186.000000
1611.364716,2.463810,3779368.000000,12990.000000
1616.205602,2.459978,3749048.000000,13000.000000
1621.037808,2.455212,3720688.000000,13044.000000
1625.861335,2.460504,3690936.000000,12783.000000
1630.676182,2.456719,3658056.000000,12780.000000
1635.482349,2.457983,3623072.000000,12621.000000
1640.279837,2.457359,3580600.000000,12491.000000
1645.068645,2.455671,3531304.000000,12367.000000
1649.848773,2.456316,3473928.000000,12148.000000
1654.620221,2.459558,3406608.000000,11824.000000
1659.382990,2.453591,3337392.000000,11744.000000
1664.137079,2.449203,3267272.000000,11614.000000
1668.882488,2.452537,3199744.000000,11287.000000
1673.619218,2.457948,3128776.000000,10900.000000
1678.347267,2.461765,3062576.000000,10576.000000
1683.066637,2.449638,2991192.000000,10622.000000
1687.777328,2.463040,2921136.000000,10058.000000
1692.479338,2.458567,2850960.000000,9918.000000
1697.172669,2.458262,2780592.000000,9680.000000
1701.857320,2.453999,2711048.000000,9531.000000
1706.533292,2.447863,2642168.000000,9421.000000
1711.200584,2.456971,2574152.000000,8988.000000
1715.859196,2.464928,2505360.000000,8589.000000
1720.509128,2.451981,2439704.000000,8617.000000
1725.150380,2.451575,2374064.000000,8393.000000
1729.782953,2.449223,2313416.000000,8223.000000
1734.406846,2.455387,2253744.000000,7898.000000
1739.022060,2.451444,2200568.000000,7782.000000
1743.628593,2.446854,2146376.000000,7671.000000
