Method:,Hadamard 3,,
Host Date-Time:,12/5/26 @ 16:9:20,,
Header Version:,1,,
System Temp (C):,32.48,,
Detector Temp (C):,36,,
Humidity (%):,66.4,,
Lamp PD:,650,,
Shift Vector Coefficients:,-17.9327,0.142247,-0.000281362,,
Pixel to Wavelength Coefficients:,2418.03,-0.769454,-0.000271241,,
Serial Number:,C07RP002i,,
Scan Config Name:,Hadamard 3,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,1600,,
End wavelength (nm):,2400,,
Pattern Pixel Width (nm):,  14.05,,,,
Exposure (ms):,  1.270,,,,
Digital Resolution:,200,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  7.388,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1601.656904,2.608904,3832320.000000,9431.000000
1606.515150,2.625467,3808216.000000,9021.000000
1611.364716,2.634172,3779368.000000,8775.000000
1616.205602,2.624922,3749048.000000,8892.000000
1621.037808,2.637338,3720688.000000,8576.000000
1625.861335,2.636748,3690936.000000,8519.000000
1630.676182,2.628954,3658056.000000,8596.000000
1635.482349,2.634488,3623072.000000,8406.000000
1640.279837,2.627202,3580600.000000,8448.000000
1645.068645,2.634863,3531304.000000,8186.000000
1649.848773,2.628439,3473928.000000,8173.000000
1654.620221,2.639226,3406608.000000,7818.000000
1659.382990,2.627212,3337392.000000,7874.000000
1664.137079,2.622871,3267272.000000,7786.000000
1668.882488,2.636001,3199744.000000,7398.000000
1673.619218,2.634917,3128776.000000,7252.000000
1678.347267,2.638391,3062576.000000,7042.000000
1683.066637,2.645641,2991192.000000,6764.000000
1687.777328,2.647128,2921136.000000,6583.000000
1692.479338,2.649151,2850960.000000,6395.000000
1697.172669,2.611309,2780592.000000,6805.000000
1701.857320,2.640535,2711048.000000,6203.000000
1706.533292,2.647516,2642168.000000,5949.000000
1711.200584,2.655140,2574152.000000,5695.000000
1715.859196,2.633947,2505360.000000,5820.000000
1720.509128,2.640625,2439704.000000,5581.000000
1725.150380,2.645599,2374064.000000,5369.000000
1729.782953,2.636062,2313416.000000,5348.000000
1734.406846,2.630353,2253744.000000,5279.000000
1739.022060,2.646791,2200568.000000,4963.000000
1743.628593,2.650465,2146376.000000,4800.000000
1748.226447,2.648884,2092688.000000,4697.000000
1752.815621,2.653214,2037608.000000,4528.000000
1757.396116,2.629022,1984664.000000,4663.000000
1761.967931,2.646620,1931112.000000,4357.000000
1766.531066,2.633446,1882872.000000,4379.000000
1771.085521,2.645874,1836208.000000,4150.000000
1775.631297,2.681519,1791544.000000,3730.000000
1781.301310,2.662221,1738032.000000,3783.000000
1785.827556,2.645251,1693960.000000,3834.000000
1790.345123,2.666550,1653352.000000,3563.000000
1794.854010,2.639138,1613648.000000,3704.000000
1799.354217,2.630662,1572208.000000,3680.000000
1803.845744,2.618932,1531560.000000,3683.000000
1808.328592,2.640152,1493408.000000,3420.000000
1812.802759,2.650024,1457608.000000,3263.000000
1817.268247,2.623478,1425392.000000,3392.000000
1821.725056,2.632205,1393440.000000,3250.000000
1826.173185,2.634392,1360832.000000,3158.000000
1830.612634,2.659255,1328760.000000,2912.000000
1835.043403,2.627390,1298784.000000,3063.000000
1839.465492,2.635957,1271032.000000,2939.000000
1843.878902,2.659364,1245112.000000,2728.000000
1848.283632,2.619239,1219704.000000,2931.000000
1852.679682,2.674017,1197672.000000,2537.000000
1857.067053,2.645754,1174848.000000,2656.000000
1861.445744,2.638067,1152064.000000,2651.000000
1865.815755,2.619410,1130680.000000,2716.000000
1870.177087,2.634511,1109912.000000,2575.000000
1874.529738,2.656197,1094696.000000,2416.000000
1878.873710,2.647489,1077408.000000,2426.000000
1883.209003,2.656925,1065672.000000,2348.000000
1887.535615,2.635701,1056336.000000,2444.000000
1891.853548,2.668327,1045096.000000,2243.000000
1896.162801,2.650363,1039856.000000,2326.000000
1900.463374,2.633858,1032496.000000,2399.000000
1904.755268,2.631662,1032856.000000,2412.000000
1909.038482,2.646078,1032744.000000,2333.000000
1913.313016,2.628020,1036120.000000,2440.000000
1917.578871,2.650382,1037664.000000,2321.000000
1921.836045,2.645111,1041048.000000,2357.000000
1926.084540,2.620693,1044672.000000,2502.000000
1930.324356,2.669858,1047384.000000,2240.000000
1934.555491,2.658630,1057560.000000,2321.000000
1938.777947,2.655083,1068392.000000,2364.000000
1942.991723,2.680556,1079736.000000,2253.000000
1947.196820,2.658138,1095960.000000,2408.000000
1951.393236,2.665580,1110272.000000,2398.000000
1955.580973,2.673305,1127368.000000,2392.000000
1959.760031,2.666509,1145128.000000,2468.000000
1963.930408,2.639330,1165008.000000,2673.000000
1969.131174,2.655773,1188688.000000,2626.000000
1973.282022,2.666602,1206168.000000,2599.000000
1977.424191,2.659754,1224304.000000,2680.000000
1981.557679,2.648080,1241640.000000,2792.000000
1985.682488,2.680291,1260120.000000,2631.000000
1989.798618,2.666068,1280704.000000,2763.000000
1993.906067,2.678432,1305288.000000,2737.000000
1998.004837,2.683677,1325976.000000,2747.000000
2002.094927,2.674012,1347776.000000,2855.000000
