Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:53:44,,
Header Version:,1,,
System Temp (C):,35.52,,
Detector Temp (C):,0,,
Humidity (%):,48.75,,
Lamp PD:,826,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.669,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.500242,86220.000000,2725.000000
904.839213,1.499681,91544.000000,2897.000000
909.992074,1.514590,99156.000000,3032.000000
913.851811,1.517049,105376.000000,3204.000000
917.707342,1.537339,110864.000000,3217.000000
921.558666,1.546317,118668.000000,3373.000000
925.405782,1.561656,127016.000000,3485.000000
929.248692,1.570223,133524.000000,3592.000000
933.087394,1.602554,140880.000000,3518.000000
936.921890,1.626657,148920.000000,3518.000000
942.028006,1.672314,158704.000000,3375.000000
945.852685,1.701996,165348.000000,3284.000000
949.673157,1.763027,173144.000000,2988.000000
953.489423,1.816898,180988.000000,2759.000000
957.301481,1.874092,190300.000000,2543.000000
961.109332,1.898773,197388.000000,2492.000000
964.912976,1.960821,205408.000000,2248.000000
969.977957,1.961616,215396.000000,2353.000000
973.771785,1.989194,223860.000000,2295.000000
977.561406,2.011941,228908.000000,2227.000000
981.346819,1.970463,236552.000000,2532.000000
985.128026,1.975953,241548.000000,2553.000000
988.905026,1.966780,247616.000000,2673.000000
992.677818,1.963212,253032.000000,2754.000000
996.446404,1.924515,257600.000000,3065.000000
1001.464641,1.915065,263568.000000,3205.000000
1005.223410,1.892946,268612.000000,3437.000000
1008.977972,1.870707,270648.000000,3645.000000
1012.728328,1.852303,274720.000000,3860.000000
1016.474476,1.821766,279020.000000,4206.000000
1020.216417,1.793909,282092.000000,4534.000000
1023.954152,1.770988,284292.000000,4817.000000
1028.931253,1.742060,290212.000000,5256.000000
1032.659171,1.723703,294080.000000,5556.000000
1036.382882,1.700258,297832.000000,5939.000000
1040.102386,1.686895,302472.000000,6220.000000
1043.817683,1.676850,307436.000000,6470.000000
1047.528772,1.666476,312288.000000,6731.000000
1051.235655,1.666053,319864.000000,6901.000000
1054.938331,1.657479,323972.000000,7129.000000
1059.868688,1.645217,326528.000000,7391.000000
1063.561548,1.640666,325616.000000,7448.000000
1067.250200,1.627184,326852.000000,7712.000000
1070.934645,1.635604,328800.000000,7609.000000
1074.614884,1.636023,328944.000000,7605.000000
1078.290915,1.627312,330976.000000,7807.000000
1081.962740,1.646208,333296.000000,7527.000000
1086.851961,1.650938,336140.000000,7509.000000
1090.513970,1.661684,340248.000000,7415.000000
1094.171771,1.673347,342156.000000,7259.000000
1097.825365,1.689096,345700.000000,7073.000000
1101.474752,1.687836,349572.000000,7173.000000
1105.119932,1.716525,353400.000000,6788.000000
1108.760905,1.732070,359264.000000,6658.000000
1112.397671,1.744929,364780.000000,6563.000000
1117.240148,1.772551,373868.000000,6312.000000
1120.867097,1.805119,382616.000000,5993.000000
1124.489840,1.832705,390496.000000,5740.000000
1128.108376,1.889298,399044.000000,5149.000000
1131.722704,1.956878,406288.000000,4487.000000
1135.332826,2.051165,414124.000000,3681.000000
1138.938741,2.129328,420360.000000,3121.000000
1143.740082,2.264619,427236.000000,2323.000000
1147.336181,2.352118,431936.000000,1920.000000
1150.928072,2.375842,436704.000000,1838.000000
1154.515756,2.402584,439676.000000,1740.000000
1158.099233,2.406684,442316.000000,1734.000000
1161.678504,2.413608,444760.000000,1716.000000
1165.253567,2.421262,447392.000000,1696.000000
1168.824423,2.423095,452728.000000,1709.000000
1173.579020,2.428915,458836.000000,1709.000000
1177.140060,2.412584,462588.000000,1789.000000
1180.696893,2.412634,465744.000000,1801.000000
1184.249519,2.425731,469076.000000,1760.000000
1187.797937,2.419367,470920.000000,1793.000000
1191.342149,2.416358,474972.000000,1821.000000
1194.882154,2.406304,479904.000000,1883.000000
1199.595616,2.438138,484864.000000,1768.000000
1203.125804,2.446359,488540.000000,1748.000000
1206.651786,2.409524,494516.000000,1926.000000
1210.173560,2.430974,499592.000000,1852.000000
1213.691128,2.406907,506092.000000,1983.000000
1217.204488,2.420266,518480.000000,1970.000000
1220.713641,2.418262,531812.000000,2030.000000
1224.218588,2.390916,543144.000000,2208.000000
1228.885305,2.391957,559736.000000,2270.000000
1232.380435,2.399396,573168.000000,2285.000000
1235.871358,2.385773,582452.000000,2396.000000
1239.358074,2.377950,589960.000000,2471.000000
1242.840583,2.371119,599556.000000,2551.000000
1246.318885,2.367807,605496.000000,2596.000000
1249.792980,2.368760,610800.000000,2613.000000
1254.418562,2.343438,616560.000000,2796.000000
1257.882841,2.341875,620936.000000,2826.000000
1261.342912,2.334918,624908.000000,2890.000000
1264.798777,2.345128,631140.000000,2851.000000
1268.250434,2.345028,634092.000000,2865.000000
1271.697885,2.351989,639840.000000,2845.000000
1275.141128,2.343575,644328.000000,2921.000000
1278.580165,2.334017,648644.000000,3006.000000
1283.159003,2.336949,654124.000000,3011.000000
1286.588223,2.357687,658088.000000,2888.000000
1290.013236,2.363558,663812.000000,2874.000000
1293.434042,2.395266,665888.000000,2680.000000
1296.850641,2.396345,668540.000000,2684.000000
1300.263033,2.409773,673348.000000,2621.000000
1303.671218,2.433666,676416.000000,2492.000000
1308.208921,2.446473,681284.000000,2437.000000
1311.607290,2.484010,682744.000000,2240.000000
1315.001451,2.484567,686672.000000,2250.000000
1318.391406,2.511212,690208.000000,2127.000000
1321.777154,2.530498,691356.000000,2038.000000
1325.158694,2.521567,693236.000000,2086.000000
1328.536028,2.557138,695416.000000,1928.000000
1331.909155,2.548740,695896.000000,1967.000000
1336.400113,2.566161,698232.000000,1896.000000
1339.763423,2.554650,698616.000000,1948.000000
1343.122526,2.560821,699520.000000,1923.000000
1346.477423,2.543205,698960.000000,2001.000000
1349.828112,2.552794,698852.000000,1957.000000
1353.174594,2.551595,696212.000000,1955.000000
1356.516869,2.568523,694264.000000,1875.000000
1360.966692,2.575631,690664.000000,1835.000000
1364.299151,2.552910,690108.000000,1932.000000
1367.627403,2.547463,689972.000000,1956.000000
1370.951448,2.572382,687384.000000,1840.000000
1374.271286,2.553441,685588.000000,1917.000000
1377.586916,2.546632,679500.000000,1930.000000
1380.898340,2.557132,675208.000000,1872.000000
1384.205557,2.557994,670044.000000,1854.000000
1388.608635,2.547409,662728.000000,1879.000000
