Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:35:14,,
Header Version:,1,,
System Temp (C):,31.58,,
Detector Temp (C):,0,,
Humidity (%):,55.02,,
Lamp PD:,826,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.716,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,2.006189,86220.000000,850.000000
904.839213,2.035287,91544.000000,844.000000
909.992074,2.032531,99156.000000,920.000000
913.851811,2.031516,105376.000000,980.000000
917.707342,2.072588,110864.000000,938.000000
921.558666,2.046576,118668.000000,1066.000000
925.405782,2.048863,127016.000000,1135.000000
929.248692,2.084562,133524.000000,1099.000000
933.087394,2.135170,140880.000000,1032.000000
936.921890,2.128805,148920.000000,1107.000000
942.028006,2.162763,158704.000000,1091.000000
945.852685,2.195971,165348.000000,1053.000000
949.673157,2.225149,173144.000000,1031.000000
953.489423,2.271774,180988.000000,968.000000
957.301481,2.287770,190300.000000,981.000000
961.109332,2.309894,197388.000000,967.000000
964.912976,2.335351,205408.000000,949.000000
969.977957,2.383848,215396.000000,890.000000
973.771785,2.347379,223860.000000,1006.000000
977.561406,2.366225,228908.000000,985.000000
981.346819,2.355642,236552.000000,1043.000000
985.128026,2.361401,241548.000000,1051.000000
988.905026,2.356352,247616.000000,1090.000000
992.677818,2.344749,253032.000000,1144.000000
996.446404,2.322455,257600.000000,1226.000000
1001.464641,2.316747,263568.000000,1271.000000
1005.223410,2.318199,268612.000000,1291.000000
1008.977972,2.316794,270648.000000,1305.000000
1012.728328,2.269216,274720.000000,1478.000000
1016.474476,2.281878,279020.000000,1458.000000
1020.216417,2.239270,282092.000000,1626.000000
1023.954152,2.232350,284292.000000,1665.000000
1028.931253,2.207926,290212.000000,1798.000000
1032.659171,2.208872,294080.000000,1818.000000
1036.382882,2.169265,297832.000000,2017.000000
1040.102386,2.195128,302472.000000,1930.000000
1043.817683,2.187377,307436.000000,1997.000000
1047.528772,2.164345,312288.000000,2139.000000
1051.235655,2.174755,319864.000000,2139.000000
1054.938331,2.151241,323972.000000,2287.000000
1059.868688,2.144519,326528.000000,2341.000000
1063.561548,2.156489,325616.000000,2271.000000
1067.250200,2.145878,326852.000000,2336.000000
1070.934645,2.153508,328800.000000,2309.000000
1074.614884,2.138361,328944.000000,2392.000000
1078.290915,2.140128,330976.000000,2397.000000
1081.962740,2.156781,333296.000000,2323.000000
1086.851961,2.179972,336140.000000,2221.000000
1090.513970,2.179420,340248.000000,2251.000000
1094.171771,2.196366,342156.000000,2177.000000
1097.825365,2.190979,345700.000000,2227.000000
1101.474752,2.199538,349572.000000,2208.000000
1105.119932,2.213210,353400.000000,2163.000000
1108.760905,2.223379,359264.000000,2148.000000
1112.397671,2.226774,364780.000000,2164.000000
1117.240148,2.249260,373868.000000,2106.000000
1120.867097,2.284347,382616.000000,1988.000000
1124.489840,2.315385,390496.000000,1889.000000
1128.108376,2.326632,399044.000000,1881.000000
1131.722704,2.399587,406288.000000,1619.000000
1135.332826,2.467911,414124.000000,1410.000000
1138.938741,2.495869,420360.000000,1342.000000
1143.740082,2.532717,427236.000000,1253.000000
1147.336181,2.569840,431936.000000,1163.000000
1150.928072,2.581761,436704.000000,1144.000000
1154.515756,2.596248,439676.000000,1114.000000
1158.099233,2.560799,442316.000000,1216.000000
1161.678504,2.559635,444760.000000,1226.000000
1165.253567,2.555868,447392.000000,1244.000000
1168.824423,2.587651,452728.000000,1170.000000
1173.579020,2.581753,458836.000000,1202.000000
1177.140060,2.576704,462588.000000,1226.000000
1180.696893,2.598109,465744.000000,1175.000000
1184.249519,2.562002,469076.000000,1286.000000
1187.797937,2.572577,470920.000000,1260.000000
1191.342149,2.575953,474972.000000,1261.000000
1194.882154,2.593018,479904.000000,1225.000000
1199.595616,2.571677,484864.000000,1300.000000
1203.125804,2.579322,488540.000000,1287.000000
1206.651786,2.583254,494516.000000,1291.000000
1210.173560,2.566036,499592.000000,1357.000000
1213.691128,2.555935,506092.000000,1407.000000
1217.204488,2.561832,518480.000000,1422.000000
1220.713641,2.568301,531812.000000,1437.000000
1224.218588,2.568485,543144.000000,1467.000000
1228.885305,2.567571,559736.000000,1515.000000
1232.380435,2.561829,573168.000000,1572.000000
1235.871358,2.565779,582452.000000,1583.000000
1239.358074,2.580771,589960.000000,1549.000000
1242.840583,2.596272,599556.000000,1519.000000
1246.318885,2.564891,605496.000000,1649.000000
1249.792980,2.586967,610800.000000,1581.000000
1254.418562,2.552432,616560.000000,1728.000000
1257.882841,2.569551,620936.000000,1673.000000
1261.342912,2.587913,624908.000000,1614.000000
1264.798777,2.545819,631140.000000,1796.000000
1268.250434,2.579696,634092.000000,1669.000000
1271.697885,2.570291,639840.000000,1721.000000
1275.141128,2.558687,644328.000000,1780.000000
1278.580165,2.594522,648644.000000,1650.000000
1283.159003,2.567442,654124.000000,1771.000000
