Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:54:7,,
Header Version:,1,,
System Temp (C):,35.81,,
Detector Temp (C):,0,,
Humidity (%):,48.43,,
Lamp PD:,826,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.669,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.113178,86220.000000,6644.000000
904.839213,1.109272,91544.000000,7118.000000
909.992074,1.111184,99156.000000,7676.000000
913.851811,1.122211,105376.000000,7953.000000
917.707342,1.124615,110864.000000,8321.000000
921.558666,1.134166,118668.000000,8713.000000
925.405782,1.158095,127016.000000,8826.000000
929.248692,1.166709,133524.000000,9096.000000
933.087394,1.189617,140880.000000,9104.000000
936.921890,1.217073,148920.000000,9034.000000
942.028006,1.261318,158704.000000,8695.000000
945.852685,1.305274,165348.000000,8187.000000
949.673157,1.354519,173144.000000,7654.000000
953.489423,1.411065,180988.000000,7024.000000
957.301481,1.481617,190300.000000,6278.000000
961.109332,1.521973,197388.000000,5934.000000
964.912976,1.551667,205408.000000,5767.000000
969.977957,1.575690,215396.000000,5722.000000
973.771785,1.582969,223860.000000,5848.000000
977.561406,1.569446,228908.000000,6169.000000
981.346819,1.574379,236552.000000,6303.000000
985.128026,1.564382,241548.000000,6586.000000
988.905026,1.551045,247616.000000,6962.000000
992.677818,1.531894,253032.000000,7435.000000
996.446404,1.510197,257600.000000,7957.000000
1001.464641,1.482823,263568.000000,8671.000000
1005.223410,1.460082,268612.000000,9312.000000
1008.977972,1.428643,270648.000000,10087.000000
1012.728328,1.408452,274720.000000,10726.000000
1016.474476,1.380130,279020.000000,11628.000000
1020.216417,1.354803,282092.000000,12462.000000
1023.954152,1.332402,284292.000000,13224.000000
1028.931253,1.300510,290212.000000,14528.000000
1032.659171,1.278891,294080.000000,15473.000000
1036.382882,1.264188,297832.000000,16210.000000
1040.102386,1.249802,302472.000000,17017.000000
1043.817683,1.235727,307436.000000,17866.000000
1047.528772,1.225323,312288.000000,18588.000000
1051.235655,1.217813,319864.000000,19371.000000
1054.938331,1.210848,323972.000000,19937.000000
1059.868688,1.199842,326528.000000,20610.000000
1063.561548,1.189124,325616.000000,21066.000000
1067.250200,1.186870,326852.000000,21256.000000
1070.934645,1.184918,328800.000000,21479.000000
1074.614884,1.183373,328944.000000,21565.000000
1078.290915,1.185685,330976.000000,21583.000000
1081.962740,1.190351,333296.000000,21502.000000
1086.851961,1.202011,336140.000000,21111.000000
1090.513970,1.212107,340248.000000,20878.000000
1094.171771,1.223616,342156.000000,20446.000000
1097.825365,1.235849,345700.000000,20084.000000
1101.474752,1.248872,349572.000000,19709.000000
1105.119932,1.263182,353400.000000,19279.000000
1108.760905,1.282181,359264.000000,18760.000000
1112.397671,1.299532,364780.000000,18302.000000
1117.240148,1.333069,373868.000000,17364.000000
1120.867097,1.368290,382616.000000,16386.000000
1124.489840,1.417819,390496.000000,14921.000000
1128.108376,1.488416,399044.000000,12960.000000
1131.722704,1.589759,406288.000000,10449.000000
1135.332826,1.719668,414124.000000,7897.000000
1138.938741,1.869962,420360.000000,5671.000000
1143.740082,2.040383,427236.000000,3893.000000
1147.336181,2.134086,431936.000000,3172.000000
1150.928072,2.163211,436704.000000,2999.000000
1154.515756,2.186615,439676.000000,2861.000000
1158.099233,2.191040,442316.000000,2849.000000
1161.678504,2.209742,444760.000000,2744.000000
1165.253567,2.196606,447392.000000,2845.000000
1168.824423,2.208679,452728.000000,2800.000000
1173.579020,2.233847,458836.000000,2678.000000
1177.140060,2.218657,462588.000000,2796.000000
1180.696893,2.215747,465744.000000,2834.000000
1184.249519,2.218997,469076.000000,2833.000000
1187.797937,2.230781,470920.000000,2768.000000
1191.342149,2.237020,474972.000000,2752.000000
1194.882154,2.222970,479904.000000,2872.000000
1199.595616,2.234294,484864.000000,2827.000000
1203.125804,2.235735,488540.000000,2839.000000
1206.651786,2.221716,494516.000000,2968.000000
1210.173560,2.221205,499592.000000,3002.000000
1213.691128,2.208963,506092.000000,3128.000000
1217.204488,2.209989,518480.000000,3197.000000
1220.713641,2.191098,531812.000000,3425.000000
1224.218588,2.186403,543144.000000,3536.000000
1228.885305,2.171872,559736.000000,3768.000000
1232.380435,2.167329,573168.000000,3899.000000
1235.871358,2.149205,582452.000000,4131.000000
1239.358074,2.138872,589960.000000,4285.000000
1242.840583,2.132407,599556.000000,4420.000000
1246.318885,2.124482,605496.000000,4546.000000
1249.792980,2.109023,610800.000000,4752.000000
1254.418562,2.094581,616560.000000,4959.000000
1257.882841,2.095382,620936.000000,4985.000000
1261.342912,2.090123,624908.000000,5078.000000
1264.798777,2.088487,631140.000000,5148.000000
1268.250434,2.084315,634092.000000,5222.000000
1271.697885,2.085664,639840.000000,5253.000000
1275.141128,2.092103,644328.000000,5212.000000
1278.580165,2.104947,648644.000000,5094.000000
1283.159003,2.128488,654124.000000,4866.000000
1286.588223,2.141042,658088.000000,4756.000000
1290.013236,2.158344,663812.000000,4610.000000
1293.434042,2.178569,665888.000000,4414.000000
1296.850641,2.208442,668540.000000,4137.000000
1300.263033,2.241990,673348.000000,3857.000000
1303.671218,2.258156,676416.000000,3733.000000
1308.208921,2.317587,681284.000000,3279.000000
1311.607290,2.346837,682744.000000,3072.000000
1315.001451,2.369437,686672.000000,2933.000000
1318.391406,2.385662,690208.000000,2840.000000
1321.777154,2.424561,691356.000000,2601.000000
1325.158694,2.432472,693236.000000,2561.000000
1328.536028,2.466215,695416.000000,2377.000000
1331.909155,2.467064,695896.000000,2374.000000
1336.400113,2.476644,698232.000000,2330.000000
1339.763423,2.481756,698616.000000,2304.000000
1343.122526,2.495134,699520.000000,2237.000000
1346.477423,2.494010,698960.000000,2241.000000
1349.828112,2.502951,698852.000000,2195.000000
1353.174594,2.489788,696212.000000,2254.000000
1356.516869,2.499299,694264.000000,2199.000000
1360.966692,2.494875,690664.000000,2210.000000
1364.299151,2.508098,690108.000000,2142.000000
1367.627403,2.488196,689972.000000,2242.000000
1370.951448,2.502344,687384.000000,2162.000000
1374.271286,2.500204,685588.000000,2167.000000
1377.586916,2.504831,679500.000000,2125.000000
1380.898340,2.507218,675208.000000,2100.000000
1384.205557,2.490846,670044.000000,2164.000000
1388.608635,2.503272,662728.000000,2080.000000
1391.906036,2.502540,656840.000000,2065.000000
1395.199229,2.495398,654888.000000,2093.000000
1398.488216,2.506193,652124.000000,2033.000000
1401.772995,2.523738,651956.000000,1952.000000
1405.053567,2.526763,648440.000000,1928.000000
1408.329933,2.510408,645528.000000,1993.000000
1412.691876,2.513891,641584.000000,1965.000000
1415.958425,2.504998,642016.000000,2007.000000
1419.220767,2.501175,643048.000000,2028.000000
1422.478902,2.516759,644192.000000,1960.000000
1425.732830,2.520713,646104.000000,1948.000000
1428.982551,2.540100,645772.000000,1862.000000
1432.228065,2.511790,645636.000000,1987.000000
1435.469372,2.529914,648420.000000,1914.000000
1439.784570,2.529513,650528.000000,1922.000000
1443.016061,2.523526,651304.000000,1951.000000
1446.243345,2.516204,652232.000000,1987.000000
1449.466421,2.514707,652604.000000,1995.000000
1452.685291,2.535864,655304.000000,1908.000000
1455.899953,2.536013,652092.000000,1898.000000
1459.110409,2.521453,651192.000000,1960.000000
1463.384472,2.548319,650688.000000,1841.000000
1466.585111,2.534616,649656.000000,1897.000000
1469.781544,2.533153,648836.000000,1901.000000
1472.973769,2.523186,646124.000000,1937.000000
1476.161787,2.531627,645540.000000,1898.000000
1479.345598,2.537223,641164.000000,1861.000000
1482.525202,2.539631,638840.000000,1844.000000
1485.700600,2.523264,636564.000000,1908.000000
1489.927918,2.560989,631376.000000,1735.000000
1493.093499,2.560902,625792.000000,1720.000000
1496.254873,2.546071,622364.000000,1770.000000
1499.412039,2.528162,619828.000000,1837.000000
1502.564999,2.552887,616136.000000,1725.000000
1505.713752,2.542436,612992.000000,1758.000000
1508.858298,2.542577,608308.000000,1744.000000
1513.044481,2.550551,604304.000000,1701.000000
1516.179211,2.542791,600232.000000,1720.000000
1519.309733,2.572876,595040.000000,1591.000000
1522.436048,2.539075,590620.000000,1707.000000
1525.558157,2.541624,584700.000000,1680.000000
1528.676058,2.507850,579592.000000,1800.000000
1531.789752,2.553810,571988.000000,1598.000000
1534.899240,2.549283,565348.000000,1596.000000
1539.038678,2.559699,555124.000000,1530.000000
1542.138349,2.549146,548880.000000,1550.000000
1545.233813,2.567393,543996.000000,1473.000000
1548.325070,2.560037,536312.000000,1477.000000
1551.412120,2.527438,528856.000000,1570.000000
1554.494963,2.565487,519920.000000,1414.000000
1557.573599,2.575816,511724.000000,1359.000000
1561.671903,2.566455,501180.000000,1360.000000
1564.740722,2.588051,493812.000000,1275.000000
1567.805335,2.595402,486484.000000,1235.000000
1570.865740,2.555264,478016.000000,1331.000000
1573.921939,2.555838,470736.000000,1309.000000
1576.973930,2.531029,462940.000000,1363.000000
1580.021715,2.542641,455600.000000,1306.000000
1584.078883,2.565742,442228.000000,1202.000000
1587.116851,2.562141,434928.000000,1192.000000
1590.150612,2.549678,426524.000000,1203.000000
1593.180167,2.556011,417680.000000,1161.000000
1596.205514,2.548623,409220.000000,1157.000000
1599.226654,2.541731,400340.000000,1150.000000
1602.243587,2.540321,390020.000000,1124.000000
1605.256313,2.548123,383312.000000,1085.000000
1609.266737,2.565857,372056.000000,1011.000000
1612.269646,2.573196,361928.000000,967.000000
1615.268349,2.548278,355176.000000,1005.000000
1618.262845,2.539074,346344.000000,1001.000000
1621.253133,2.522673,335508.000000,1007.000000
1624.239215,2.535024,326676.000000,953.000000
1627.221090,2.513781,317936.000000,974.000000
1631.190378,2.537424,303324.000000,880.000000
1634.162437,2.544171,296520.000000,847.000000
1637.130288,2.546247,287740.000000,818.000000
1640.093932,2.529231,282096.000000,834.000000
1643.053370,2.550398,273812.000000,771.000000
1646.008600,2.517056,266404.000000,810.000000
1648.959623,2.506835,258280.000000,804.000000
1651.906439,2.594782,250172.000000,636.000000
1655.828983,2.537783,240100.000000,696.000000
1658.765983,2.525233,230580.000000,688.000000
1661.698776,2.510124,222696.000000,688.000000
1664.627362,2.562727,214104.000000,586.000000
1667.551741,2.602136,206036.000000,515.000000
1670.471913,2.558713,198740.000000,549.000000
1673.387877,2.468188,191324.000000,651.000000
1677.269286,2.494020,180904.000000,580.000000
1680.175435,2.534805,173020.000000,505.000000
1683.077376,2.548440,163336.000000,462.000000
1685.975111,2.449689,153492.000000,545.000000
1688.868638,2.534404,144792.000000,423.000000
1691.757958,2.441154,134764.000000,488.000000
1694.643072,2.446840,125628.000000,449.000000
1697.523978,2.409179,116732.000000,455.000000
1701.358642,2.451679,104684.000000,370.000000
