Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:37:10,,
Header Version:,1,,
System Temp (C):,32.72,,
Detector Temp (C):,0,,
Humidity (%):,54.3,,
Lamp PD:,826,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.656,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.930428,86220.000000,1012.000000
904.839213,1.871725,91544.000000,1230.000000
909.992074,1.925543,99156.000000,1177.000000
913.851811,1.946465,105376.000000,1192.000000
917.707342,1.894034,110864.000000,1415.000000
921.558666,1.989043,118668.000000,1217.000000
925.405782,1.961782,127016.000000,1387.000000
929.248692,2.015981,133524.000000,1287.000000
933.087394,2.013081,140880.000000,1367.000000
936.921890,2.044877,148920.000000,1343.000000
942.028006,2.095759,158704.000000,1273.000000
945.852685,2.100134,165348.000000,1313.000000
949.673157,2.141150,173144.000000,1251.000000
953.489423,2.174147,180988.000000,1212.000000
957.301481,2.222534,190300.000000,1140.000000
961.109332,2.245715,197388.000000,1121.000000
964.912976,2.286493,205408.000000,1062.000000
969.977957,2.277859,215396.000000,1136.000000
973.771785,2.254458,223860.000000,1246.000000
977.561406,2.321438,228908.000000,1092.000000
981.346819,2.310593,236552.000000,1157.000000
985.128026,2.289232,241548.000000,1241.000000
988.905026,2.257058,247616.000000,1370.000000
992.677818,2.276395,253032.000000,1339.000000
996.446404,2.259576,257600.000000,1417.000000
1001.464641,2.247706,263568.000000,1490.000000
1005.223410,2.250724,268612.000000,1508.000000
1008.977972,2.231008,270648.000000,1590.000000
1012.728328,2.206657,274720.000000,1707.000000
1016.474476,2.187477,279020.000000,1812.000000
1020.216417,2.191993,282092.000000,1813.000000
1023.954152,2.174326,284292.000000,1903.000000
1028.931253,2.149904,290212.000000,2055.000000
1032.659171,2.120940,294080.000000,2226.000000
1036.382882,2.139719,297832.000000,2159.000000
1040.102386,2.115759,302472.000000,2317.000000
1043.817683,2.108087,307436.000000,2397.000000
1047.528772,2.107343,312288.000000,2439.000000
1051.235655,2.086498,319864.000000,2621.000000
1054.938331,2.080271,323972.000000,2693.000000
1059.868688,2.091823,326528.000000,2643.000000
1063.561548,2.074163,325616.000000,2745.000000
1067.250200,2.086378,326852.000000,2679.000000
1070.934645,2.063919,328800.000000,2838.000000
1074.614884,2.072609,328944.000000,2783.000000
1078.290915,2.073415,330976.000000,2795.000000
1081.962740,2.088421,333296.000000,2719.000000
1086.851961,2.097738,336140.000000,2684.000000
1090.513970,2.110356,340248.000000,2639.000000
1094.171771,2.107225,342156.000000,2673.000000
1097.825365,2.118413,345700.000000,2632.000000
1101.474752,2.143863,349572.000000,2510.000000
1105.119932,2.148420,353400.000000,2511.000000
1108.760905,2.171419,359264.000000,2421.000000
1112.397671,2.169686,364780.000000,2468.000000
1117.240148,2.186576,373868.000000,2433.000000
1120.867097,2.229424,382616.000000,2256.000000
1124.489840,2.256761,390496.000000,2162.000000
1128.108376,2.295240,399044.000000,2022.000000
1131.722704,2.339321,406288.000000,1860.000000
1135.332826,2.391046,414124.000000,1683.000000
1138.938741,2.416796,420360.000000,1610.000000
1143.740082,2.468402,427236.000000,1453.000000
1147.336181,2.517155,431936.000000,1313.000000
1150.928072,2.503784,436704.000000,1369.000000
1154.515756,2.501683,439676.000000,1385.000000
1158.099233,2.509329,442316.000000,1369.000000
1161.678504,2.543980,444760.000000,1271.000000
1165.253567,2.496264,447392.000000,1427.000000
1168.824423,2.515644,452728.000000,1381.000000
1173.579020,2.518018,458836.000000,1392.000000
1177.140060,2.509858,462588.000000,1430.000000
1180.696893,2.484024,465744.000000,1528.000000
1184.249519,2.539625,469076.000000,1354.000000
1187.797937,2.492248,470920.000000,1516.000000
1191.342149,2.511721,474972.000000,1462.000000
1194.882154,2.512952,479904.000000,1473.000000
1199.595616,2.486139,484864.000000,1583.000000
1203.125804,2.491068,488540.000000,1577.000000
1206.651786,2.496900,494516.000000,1575.000000
1210.173560,2.492870,499592.000000,1606.000000
1213.691128,2.495519,506092.000000,1617.000000
1217.204488,2.485306,518480.000000,1696.000000
1220.713641,2.490230,531812.000000,1720.000000
1224.218588,2.515069,543144.000000,1659.000000
1228.885305,2.540618,559736.000000,1612.000000
1232.380435,2.502527,573168.000000,1802.000000
1235.871358,2.511438,582452.000000,1794.000000
1239.358074,2.525063,589960.000000,1761.000000
1242.840583,2.519432,599556.000000,1813.000000
1246.318885,2.526356,605496.000000,1802.000000
1249.792980,2.511741,610800.000000,1880.000000
1254.418562,2.522100,616560.000000,1853.000000
1257.882841,2.515438,620936.000000,1895.000000
1261.342912,2.528644,624908.000000,1850.000000
1264.798777,2.525968,631140.000000,1880.000000
1268.250434,2.515023,634092.000000,1937.000000
1271.697885,2.530530,639840.000000,1886.000000
1275.141128,2.518182,644328.000000,1954.000000
1278.580165,2.537156,648644.000000,1883.000000
1283.159003,2.556305,654124.000000,1817.000000
1286.588223,2.545283,658088.000000,1875.000000
1290.013236,2.536488,663812.000000,1930.000000
1293.434042,2.532254,665888.000000,1955.000000
1296.850641,2.564817,668540.000000,1821.000000
1300.263033,2.545617,673348.000000,1917.000000
1303.671218,2.560001,676416.000000,1863.000000
1308.208921,2.563115,681284.000000,1863.000000
1311.607290,2.565446,682744.000000,1857.000000
1315.001451,2.579551,686672.000000,1808.000000
1318.391406,2.578909,690208.000000,1820.000000
