Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:55:15,,
Header Version:,1,,
System Temp (C):,36.67,,
Detector Temp (C):,0,,
Humidity (%):,47.76,,
Lamp PD:,825,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.648,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.180648,86220.000000,5688.000000
904.839213,1.179444,91544.000000,6056.000000
909.992074,1.185213,99156.000000,6473.000000
913.851811,1.190872,105376.000000,6790.000000
917.707342,1.196786,110864.000000,7047.000000
921.558666,1.209645,118668.000000,7323.000000
925.405782,1.223903,127016.000000,7585.000000
929.248692,1.241331,133524.000000,7660.000000
933.087394,1.262133,140880.000000,7704.000000
936.921890,1.292139,148920.000000,7600.000000
942.028006,1.345129,158704.000000,7169.000000
945.852685,1.386721,165348.000000,6787.000000
949.673157,1.443501,173144.000000,6236.000000
953.489423,1.512575,180988.000000,5560.000000
957.301481,1.572806,190300.000000,5089.000000
961.109332,1.620919,197388.000000,4725.000000
964.912976,1.643766,205408.000000,4665.000000
969.977957,1.665972,215396.000000,4648.000000
973.771785,1.672826,223860.000000,4755.000000
977.561406,1.670263,228908.000000,4891.000000
981.346819,1.663386,236552.000000,5135.000000
985.128026,1.651495,241548.000000,5389.000000
988.905026,1.642962,247616.000000,5634.000000
992.677818,1.622067,253032.000000,6041.000000
996.446404,1.602060,257600.000000,6440.000000
1001.464641,1.574061,263568.000000,7028.000000
1005.223410,1.552965,268612.000000,7519.000000
1008.977972,1.526501,270648.000000,8052.000000
1012.728328,1.500921,274720.000000,8669.000000
1016.474476,1.477339,279020.000000,9296.000000
1020.216417,1.452786,282092.000000,9945.000000
1023.954152,1.426945,284292.000000,10637.000000
1028.931253,1.391754,290212.000000,11775.000000
1032.659171,1.370203,294080.000000,12539.000000
1036.382882,1.351297,297832.000000,13264.000000
1040.102386,1.333194,302472.000000,14044.000000
1043.817683,1.320290,307436.000000,14705.000000
1047.528772,1.306724,312288.000000,15411.000000
1051.235655,1.297412,319864.000000,16127.000000
1054.938331,1.288390,323972.000000,16677.000000
1059.868688,1.275247,326528.000000,17325.000000
1063.561548,1.264929,325616.000000,17692.000000
1067.250200,1.259151,326852.000000,17997.000000
1070.934645,1.256503,328800.000000,18215.000000
1074.614884,1.256335,328944.000000,18230.000000
1078.290915,1.256847,330976.000000,18321.000000
1081.962740,1.262449,333296.000000,18213.000000
1086.851961,1.272528,336140.000000,17947.000000
1090.513970,1.283798,340248.000000,17701.000000
