Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:38:37,,
Header Version:,1,,
System Temp (C):,33.78,,
Detector Temp (C):,0,,
Humidity (%):,53.07,,
Lamp PD:,826,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.648,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.210105,86220.000000,5315.000000
904.839213,1.208507,91544.000000,5664.000000
909.992074,1.211417,99156.000000,6094.000000
913.851811,1.220584,105376.000000,6341.000000
917.707342,1.224983,110864.000000,6604.000000
921.558666,1.229360,118668.000000,6998.000000
925.405782,1.249370,127016.000000,7153.000000
929.248692,1.262891,133524.000000,7289.000000
933.087394,1.283212,140880.000000,7339.000000
936.921890,1.309095,148920.000000,7309.000000
942.028006,1.350984,158704.000000,7073.000000
945.852685,1.393818,165348.000000,6677.000000
949.673157,1.445106,173144.000000,6213.000000
953.489423,1.501851,180988.000000,5699.000000
957.301481,1.562101,190300.000000,5216.000000
961.109332,1.600452,197388.000000,4953.000000
964.912976,1.620741,205408.000000,4919.000000
969.977957,1.638808,215396.000000,4948.000000
973.771785,1.652834,223860.000000,4979.000000
977.561406,1.647938,228908.000000,5149.000000
981.346819,1.634354,236552.000000,5490.000000
985.128026,1.630494,241548.000000,5656.000000
988.905026,1.616860,247616.000000,5983.000000
992.677818,1.601497,253032.000000,6334.000000
996.446404,1.584159,257600.000000,6711.000000
1001.464641,1.554428,263568.000000,7353.000000
1005.223410,1.533427,268612.000000,7865.000000
1008.977972,1.513117,270648.000000,8304.000000
1012.728328,1.488720,274720.000000,8916.000000
1016.474476,1.466178,279020.000000,9538.000000
1020.216417,1.443113,282092.000000,10169.000000
1023.954152,1.418535,284292.000000,10845.000000
1028.931253,1.386257,290212.000000,11925.000000
1032.659171,1.362207,294080.000000,12772.000000
1036.382882,1.347775,297832.000000,13372.000000
1040.102386,1.328213,302472.000000,14206.000000
1043.817683,1.314860,307436.000000,14890.000000
1047.528772,1.301821,312288.000000,15586.000000
1051.235655,1.293364,319864.000000,16278.000000
1054.938331,1.287531,323972.000000,16710.000000
1059.868688,1.273896,326528.000000,17379.000000
1063.561548,1.263703,325616.000000,17742.000000
1067.250200,1.257081,326852.000000,18083.000000
1070.934645,1.256455,328800.000000,18217.000000
1074.614884,1.252611,328944.000000,18387.000000
1078.290915,1.253494,330976.000000,18463.000000
1081.962740,1.254884,333296.000000,18533.000000
1086.851961,1.265567,336140.000000,18237.000000
1090.513970,1.274958,340248.000000,18065.000000
1094.171771,1.285050,342156.000000,17749.000000
1097.825365,1.295438,345700.000000,17509.000000
1101.474752,1.307882,349572.000000,17205.000000
1105.119932,1.320740,353400.000000,16886.000000
1108.760905,1.335672,359264.000000,16586.000000
1112.397671,1.351231,364780.000000,16248.000000
1117.240148,1.383593,373868.000000,15457.000000
1120.867097,1.416511,382616.000000,14664.000000
1124.489840,1.460929,390496.000000,13511.000000
1128.108376,1.532316,399044.000000,11714.000000
1131.722704,1.631385,406288.000000,9494.000000
1135.332826,1.757452,414124.000000,7239.000000
1138.938741,1.909627,420360.000000,5176.000000
1143.740082,2.066594,427236.000000,3665.000000
1147.336181,2.161057,431936.000000,2981.000000
1150.928072,2.188247,436704.000000,2831.000000
1154.515756,2.211447,439676.000000,2702.000000
1158.099233,2.206874,442316.000000,2747.000000
1161.678504,2.210058,444760.000000,2742.000000
1165.253567,2.214685,447392.000000,2729.000000
1168.824423,2.234727,452728.000000,2637.000000
1173.579020,2.244851,458836.000000,2611.000000
1177.140060,2.237871,462588.000000,2675.000000
1180.696893,2.249183,465744.000000,2624.000000
1184.249519,2.258951,469076.000000,2584.000000
1187.797937,2.272409,470920.000000,2515.000000
1191.342149,2.279423,474972.000000,2496.000000
1194.882154,2.248987,479904.000000,2705.000000
1199.595616,2.278059,484864.000000,2556.000000
1203.125804,2.267296,488540.000000,2640.000000
1206.651786,2.268646,494516.000000,2664.000000
1210.173560,2.265646,499592.000000,2710.000000
1213.691128,2.250911,506092.000000,2840.000000
1217.204488,2.241537,518480.000000,2973.000000
1220.713641,2.252271,531812.000000,2975.000000
1224.218588,2.233445,543144.000000,3173.000000
1228.885305,2.230919,559736.000000,3289.000000
1232.380435,2.206710,573168.000000,3561.000000
1235.871358,2.214298,582452.000000,3556.000000
1239.358074,2.198532,589960.000000,3735.000000
1242.840583,2.202065,599556.000000,3765.000000
1246.318885,2.183868,605496.000000,3965.000000
1249.792980,2.171529,610800.000000,4115.000000
1254.418562,2.162507,616560.000000,4241.000000
1257.882841,2.164862,620936.000000,4248.000000
1261.342912,2.167325,624908.000000,4251.000000
1264.798777,2.144123,631140.000000,4529.000000
1268.250434,2.159985,634092.000000,4387.000000
1271.697885,2.155667,639840.000000,4471.000000
1275.141128,2.166642,644328.000000,4390.000000
1278.580165,2.169245,648644.000000,4393.000000
1283.159003,2.203618,654124.000000,4093.000000
1286.588223,2.211473,658088.000000,4044.000000
1290.013236,2.236697,663812.000000,3849.000000
1293.434042,2.260514,665888.000000,3655.000000
1296.850641,2.267500,668540.000000,3611.000000
1300.263033,2.314623,673348.000000,3263.000000
1303.671218,2.325064,676416.000000,3200.000000
1308.208921,2.378788,681284.000000,2848.000000
1311.607290,2.398732,682744.000000,2726.000000
1315.001451,2.429358,686672.000000,2555.000000
1318.391406,2.459493,690208.000000,2396.000000
1321.777154,2.482720,691356.000000,2275.000000
1325.158694,2.503023,693236.000000,2177.000000
1328.536028,2.514069,695416.000000,2129.000000
1331.909155,2.535476,695896.000000,2028.000000
1336.400113,2.548213,698232.000000,1976.000000
1339.763423,2.534821,698616.000000,2039.000000
1343.122526,2.558119,699520.000000,1935.000000
1346.477423,2.558895,698960.000000,1930.000000
1349.828112,2.541838,698852.000000,2007.000000
1353.174594,2.569046,696212.000000,1878.000000
1356.516869,2.567598,694264.000000,1879.000000
1360.966692,2.554385,690664.000000,1927.000000
1364.299151,2.571980,690108.000000,1849.000000
1367.627403,2.564443,689972.000000,1881.000000
1370.951448,2.584589,687384.000000,1789.000000
1374.271286,2.556624,685588.000000,1903.000000
1377.586916,2.587665,679500.000000,1756.000000
1380.898340,2.573201,675208.000000,1804.000000
1384.205557,2.547121,670044.000000,1901.000000
1388.608635,2.557463,662728.000000,1836.000000
1391.906036,2.584463,656840.000000,1710.000000
1395.199229,2.589052,654888.000000,1687.000000
1398.488216,2.600016,652124.000000,1638.000000
1401.772995,2.594372,651956.000000,1659.000000
1405.053567,2.586561,648440.000000,1680.000000
1408.329933,2.584864,645528.000000,1679.000000
1412.691876,2.594267,641584.000000,1633.000000
1415.958425,2.594028,642016.000000,1635.000000
1419.220767,2.602768,643048.000000,1605.000000
1422.478902,2.620087,644192.000000,1545.000000
1425.732830,2.579854,646104.000000,1700.000000
1428.982551,2.590757,645772.000000,1657.000000
1432.228065,2.625864,645636.000000,1528.000000
1435.469372,2.589921,648420.000000,1667.000000
1439.784570,2.600014,650528.000000,1634.000000
1443.016061,2.605611,651304.000000,1615.000000
1446.243345,2.595867,652232.000000,1654.000000
1449.466421,2.594542,652604.000000,1660.000000
1452.685291,2.605857,655304.000000,1624.000000
1455.899953,2.632465,652092.000000,1520.000000
1459.110409,2.589954,651192.000000,1674.000000
1463.384472,2.608710,650688.000000,1602.000000
1466.585111,2.586857,649656.000000,1682.000000
1469.781544,2.616789,648836.000000,1568.000000
1472.973769,2.642703,646124.000000,1471.000000
1476.161787,2.639075,645540.000000,1482.000000
1479.345598,2.605845,641164.000000,1589.000000
1482.525202,2.615621,638840.000000,1548.000000
1485.700600,2.632408,636564.000000,1484.000000
1489.927918,2.597800,631376.000000,1594.000000
1493.093499,2.638671,625792.000000,1438.000000
1496.254873,2.615068,622364.000000,1510.000000
1499.412039,2.644904,619828.000000,1404.000000
1502.564999,2.632522,616136.000000,1436.000000
1505.713752,2.637313,612992.000000,1413.000000
1508.858298,2.614155,608308.000000,1479.000000
1513.044481,2.632653,604304.000000,1408.000000
1516.179211,2.612482,600232.000000,1465.000000
1519.309733,2.595569,595040.000000,1510.000000
1522.436048,2.593195,590620.000000,1507.000000
1525.558157,2.627369,584700.000000,1379.000000
1528.676058,2.632789,579592.000000,1350.000000
1531.789752,2.635171,571988.000000,1325.000000
1534.899240,2.626835,565348.000000,1335.000000
1539.038678,2.637519,555124.000000,1279.000000
1542.138349,2.644657,548880.000000,1244.000000
1545.233813,2.618988,543996.000000,1308.000000
1548.325070,2.619502,536312.000000,1288.000000
1551.412120,2.619192,528856.000000,1271.000000
1554.494963,2.638205,519920.000000,1196.000000
1557.573599,2.623388,511724.000000,1218.000000
1561.671903,2.654280,501180.000000,1111.000000
1564.740722,2.625747,493812.000000,1169.000000
1567.805335,2.655256,486484.000000,1076.000000
1570.865740,2.660742,478016.000000,1044.000000
1573.921939,2.637348,470736.000000,1085.000000
1576.973930,2.655649,462940.000000,1023.000000
1580.021715,2.659889,455600.000000,997.000000
1584.078883,2.624457,442228.000000,1050.000000
1587.116851,2.660694,434928.000000,950.000000
1590.150612,2.660062,426524.000000,933.000000
1593.180167,2.650497,417680.000000,934.000000
1596.205514,2.627880,409220.000000,964.000000
1599.226654,2.635818,400340.000000,926.000000
1602.243587,2.634918,390020.000000,904.000000
1605.256313,2.634162,383312.000000,890.000000
1609.266737,2.674082,372056.000000,788.000000
1612.269646,2.647465,361928.000000,815.000000
1615.268349,2.555687,355176.000000,988.000000
1618.262845,2.640234,346344.000000,793.000000
1621.253133,2.586184,335508.000000,870.000000
1624.239215,2.620910,326676.000000,782.000000
1627.221090,2.591715,317936.000000,814.000000
1631.190378,2.592045,303324.000000,776.000000
1634.162437,2.616535,296520.000000,717.000000
1637.130288,2.583360,287740.000000,751.000000
1640.093932,2.642862,282096.000000,642.000000
1643.053370,2.629242,273812.000000,643.000000
1646.008600,2.626890,266404.000000,629.000000
1648.959623,2.609317,258280.000000,635.000000
1651.906439,2.603054,250172.000000,624.000000
1655.828983,2.602241,240100.000000,600.000000
1658.765983,2.606186,230580.000000,571.000000
1661.698776,2.586537,222696.000000,577.000000
