Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:56:40,,
Header Version:,1,,
System Temp (C):,37.56,,
Detector Temp (C):,0,,
Humidity (%):,47.2,,
Lamp PD:,827,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.661,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.315993,86220.000000,4165.000000
904.839213,1.310352,91544.000000,4480.000000
909.992074,1.306478,99156.000000,4896.000000
913.851811,1.317905,105376.000000,5068.000000
917.707342,1.322403,110864.000000,5277.000000
921.558666,1.327310,118668.000000,5585.000000
925.405782,1.342457,127016.000000,5773.000000
929.248692,1.349294,133524.000000,5974.000000
933.087394,1.365375,140880.000000,6074.000000
936.921890,1.396761,148920.000000,5973.000000
942.028006,1.439638,158704.000000,5767.000000
945.852685,1.470288,165348.000000,5599.000000
949.673157,1.507787,173144.000000,5378.000000
953.489423,1.558246,180988.000000,5005.000000
957.301481,1.612734,190300.000000,4642.000000
961.109332,1.656333,197388.000000,4355.000000
964.912976,1.690922,205408.000000,4185.000000
969.977957,1.711438,215396.000000,4186.000000
973.771785,1.707413,223860.000000,4391.000000
977.561406,1.700411,228908.000000,4563.000000
981.346819,1.698240,236552.000000,4739.000000
985.128026,1.690597,241548.000000,4925.000000
988.905026,1.680288,247616.000000,5170.000000
992.677818,1.662497,253032.000000,5504.000000
996.446404,1.644682,257600.000000,5838.000000
1001.464641,1.619901,263568.000000,6324.000000
1005.223410,1.595915,268612.000000,6811.000000
1008.977972,1.572666,270648.000000,7240.000000
1012.728328,1.547297,274720.000000,7791.000000
1016.474476,1.527448,279020.000000,8283.000000
1020.216417,1.507292,282092.000000,8772.000000
1023.954152,1.486217,284292.000000,9280.000000
1028.931253,1.455138,290212.000000,10176.000000
1032.659171,1.441116,294080.000000,10650.000000
1036.382882,1.428531,297832.000000,11103.000000
1040.102386,1.409282,302472.000000,11787.000000
1043.817683,1.403357,307436.000000,12145.000000
1047.528772,1.390923,312288.000000,12695.000000
1051.235655,1.386337,319864.000000,13141.000000
1054.938331,1.379563,323972.000000,13519.000000
1059.868688,1.368879,326528.000000,13965.000000
1063.561548,1.362871,325616.000000,14120.000000
1067.250200,1.360353,326852.000000,14256.000000
1070.934645,1.358057,328800.000000,14417.000000
1074.614884,1.356533,328944.000000,14474.000000
1078.290915,1.361012,330976.000000,14414.000000
1081.962740,1.364558,333296.000000,14397.000000
1086.851961,1.374140,336140.000000,14203.000000
1090.513970,1.386071,340248.000000,13987.000000
1094.171771,1.390710,342156.000000,13916.000000
1097.825365,1.405192,345700.000000,13599.000000
1101.474752,1.418772,349572.000000,13328.000000
1105.119932,1.429176,353400.000000,13155.000000
1108.760905,1.444992,359264.000000,12895.000000
1112.397671,1.462903,364780.000000,12564.000000
1117.240148,1.487820,373868.000000,12159.000000
1120.867097,1.523313,382616.000000,11467.000000
1124.489840,1.560976,390496.000000,10731.000000
1128.108376,1.625957,399044.000000,9442.000000
1131.722704,1.704985,406288.000000,8014.000000
1135.332826,1.826142,414124.000000,6180.000000
1138.938741,1.947111,420360.000000,4748.000000
1143.740082,2.105753,427236.000000,3349.000000
1147.336181,2.177538,431936.000000,2870.000000
1150.928072,2.222218,436704.000000,2618.000000
1154.515756,2.234554,439676.000000,2562.000000
1158.099233,2.259769,442316.000000,2432.000000
1161.678504,2.257721,444760.000000,2457.000000
1165.253567,2.257991,447392.000000,2470.000000
1168.824423,2.277621,452728.000000,2389.000000
1173.579020,2.277304,458836.000000,2423.000000
1177.140060,2.275851,462588.000000,2451.000000
1180.696893,2.277036,465744.000000,2461.000000
1184.249519,2.282964,469076.000000,2445.000000
1187.797937,2.283604,470920.000000,2451.000000
1191.342149,2.299544,474972.000000,2383.000000
1194.882154,2.276321,479904.000000,2540.000000
1199.595616,2.292220,484864.000000,2474.000000
1203.125804,2.297259,488540.000000,2464.000000
1206.651786,2.291232,494516.000000,2529.000000
1210.173560,2.296182,499592.000000,2526.000000
1213.691128,2.251064,506092.000000,2839.000000
1217.204488,2.251287,518480.000000,2907.000000
1220.713641,2.242171,531812.000000,3045.000000
1224.218588,2.235090,543144.000000,3161.000000
1228.885305,2.231316,559736.000000,3286.000000
1232.380435,2.220337,573168.000000,3451.000000
1235.871358,2.218964,582452.000000,3518.000000
1239.358074,2.205329,589960.000000,3677.000000
1242.840583,2.196563,599556.000000,3813.000000
1246.318885,2.191715,605496.000000,3894.000000
1249.792980,2.175132,610800.000000,4081.000000
1254.418562,2.174025,616560.000000,4130.000000
1257.882841,2.164147,620936.000000,4255.000000
1261.342912,2.160936,624908.000000,4314.000000
1264.798777,2.157068,631140.000000,4396.000000
1268.250434,2.147687,634092.000000,4513.000000
1271.697885,2.158102,639840.000000,4446.000000
1275.141128,2.156184,644328.000000,4497.000000
1278.580165,2.175318,648644.000000,4332.000000
1283.159003,2.195004,654124.000000,4175.000000
1286.588223,2.213195,658088.000000,4028.000000
1290.013236,2.216740,663812.000000,4030.000000
1293.434042,2.245335,665888.000000,3785.000000
1296.850641,2.266779,668540.000000,3617.000000
1300.263033,2.292819,673348.000000,3431.000000
1303.671218,2.315401,676416.000000,3272.000000
1308.208921,2.357657,681284.000000,2990.000000
1311.607290,2.394136,682744.000000,2755.000000
1315.001451,2.420608,686672.000000,2607.000000
1318.391406,2.455165,690208.000000,2420.000000
1321.777154,2.481576,691356.000000,2281.000000
1325.158694,2.487927,693236.000000,2254.000000
1328.536028,2.515295,695416.000000,2123.000000
1331.909155,2.543910,695896.000000,1989.000000
1336.400113,2.539725,698232.000000,2015.000000
1339.763423,2.538672,698616.000000,2021.000000
1343.122526,2.555657,699520.000000,1946.000000
1346.477423,2.538456,698960.000000,2023.000000
1349.828112,2.546406,698852.000000,1986.000000
1353.174594,2.567200,696212.000000,1886.000000
1356.516869,2.557771,694264.000000,1922.000000
1360.966692,2.559144,690664.000000,1906.000000
1364.299151,2.565453,690108.000000,1877.000000
1367.627403,2.559393,689972.000000,1903.000000
1370.951448,2.553898,687384.000000,1920.000000
1374.271286,2.556168,685588.000000,1905.000000
1377.586916,2.560116,679500.000000,1871.000000
1380.898340,2.575131,675208.000000,1796.000000
1384.205557,2.544388,670044.000000,1913.000000
1388.608635,2.542582,662728.000000,1900.000000
1391.906036,2.581426,656840.000000,1722.000000
1395.199229,2.548761,654888.000000,1851.000000
1398.488216,2.579054,652124.000000,1719.000000
1401.772995,2.553670,651956.000000,1822.000000
1405.053567,2.551083,648440.000000,1823.000000
1408.329933,2.536219,645528.000000,1878.000000
1412.691876,2.564215,641584.000000,1750.000000
1415.958425,2.568998,642016.000000,1732.000000
1419.220767,2.564214,643048.000000,1754.000000
1422.478902,2.567967,644192.000000,1742.000000
1425.732830,2.548564,646104.000000,1827.000000
1428.982551,2.570029,645772.000000,1738.000000
1432.228065,2.560056,645636.000000,1778.000000
1435.469372,2.562413,648420.000000,1776.000000
1439.784570,2.584866,650528.000000,1692.000000
1443.016061,2.562632,651304.000000,1783.000000
1446.243345,2.581406,652232.000000,1710.000000
1449.466421,2.553387,652604.000000,1825.000000
1452.685291,2.569452,655304.000000,1766.000000
1455.899953,2.561699,652092.000000,1789.000000
1459.110409,2.602856,651192.000000,1625.000000
1463.384472,2.589877,650688.000000,1673.000000
1466.585111,2.565939,649656.000000,1765.000000
1469.781544,2.583222,648836.000000,1694.000000
1472.973769,2.573527,646124.000000,1725.000000
1476.161787,2.574142,645540.000000,1721.000000
1479.345598,2.572452,641164.000000,1716.000000
1482.525202,2.553025,638840.000000,1788.000000
1485.700600,2.600265,636564.000000,1598.000000
1489.927918,2.578613,631376.000000,1666.000000
1493.093499,2.593125,625792.000000,1597.000000
1496.254873,2.557759,622364.000000,1723.000000
1499.412039,2.564642,619828.000000,1689.000000
1502.564999,2.574303,616136.000000,1642.000000
1505.713752,2.592109,612992.000000,1568.000000
1508.858298,2.574609,608308.000000,1620.000000
1513.044481,2.597132,604304.000000,1528.000000
1516.179211,2.588548,600232.000000,1548.000000
