Method:,Hadamard 1,,
Host Date-Time:,12/5/26 @ 15:39:55,,
Header Version:,1,,
System Temp (C):,34.71,,
Detector Temp (C):,0,,
Humidity (%):,51.94,,
Lamp PD:,827,,
Shift Vector Coefficients:,-6.50275,0.0497444,-9.43735e-05,,
Pixel to Wavelength Coefficients:,1760.3,-0.928516,-0.000233723,,
Serial Number:,A50R014,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,15,,
PGA Gain:,64,,
Total Measurement Time in sec:,  4.713,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.969659,1.278744,86220.000000,4538.000000
904.839213,1.264924,91544.000000,4974.000000
909.992074,1.274097,99156.000000,5275.000000
913.851811,1.277199,105376.000000,5566.000000
917.707342,1.284443,110864.000000,5759.000000
921.558666,1.296617,118668.000000,5994.000000
925.405782,1.303416,127016.000000,6316.000000
929.248692,1.319040,133524.000000,6405.000000
933.087394,1.341382,140880.000000,6419.000000
936.921890,1.357309,148920.000000,6541.000000
942.028006,1.395427,158704.000000,6385.000000
945.852685,1.430655,165348.000000,6134.000000
949.673157,1.470213,173144.000000,5864.000000
953.489423,1.516971,180988.000000,5504.000000
957.301481,1.569660,190300.000000,5126.000000
961.109332,1.599839,197388.000000,4960.000000
964.912976,1.613127,205408.000000,5006.000000
969.977957,1.625072,215396.000000,5107.000000
973.771785,1.640707,223860.000000,5120.000000
977.561406,1.631957,228908.000000,5342.000000
981.346819,1.619884,236552.000000,5676.000000
985.128026,1.621903,241548.000000,5769.000000
988.905026,1.613750,247616.000000,6026.000000
992.677818,1.593279,253032.000000,6455.000000
996.446404,1.580742,257600.000000,6764.000000
1001.464641,1.556026,263568.000000,7326.000000
1005.223410,1.545237,268612.000000,7654.000000
1008.977972,1.520502,270648.000000,8164.000000
1012.728328,1.496733,274720.000000,8753.000000
1016.474476,1.482367,279020.000000,9189.000000
1020.216417,1.461163,282092.000000,9755.000000
1023.954152,1.444526,284292.000000,10215.000000
1028.931253,1.416298,290212.000000,11128.000000
1032.659171,1.398169,294080.000000,11757.000000
1036.382882,1.380410,297832.000000,12404.000000
1040.102386,1.367109,302472.000000,12989.000000
1043.817683,1.353227,307436.000000,13631.000000
1047.528772,1.341595,312288.000000,14222.000000
1051.235655,1.334381,319864.000000,14811.000000
1054.938331,1.327437,323972.000000,15243.000000
1059.868688,1.314769,326528.000000,15818.000000
1063.561548,1.308206,325616.000000,16014.000000
1067.250200,1.304541,326852.000000,16211.000000
1070.934645,1.302724,328800.000000,16376.000000
1074.614884,1.300903,328944.000000,16452.000000
1078.290915,1.304370,330976.000000,16422.000000
1081.962740,1.310536,333296.000000,16304.000000
1086.851961,1.316202,336140.000000,16230.000000
1090.513970,1.326943,340248.000000,16027.000000
1094.171771,1.333456,342156.000000,15877.000000
1097.825365,1.346494,345700.000000,15567.000000
1101.474752,1.355621,349572.000000,15414.000000
1105.119932,1.364541,353400.000000,15266.000000
1108.760905,1.378628,359264.000000,15024.000000
1112.397671,1.393592,364780.000000,14738.000000
1117.240148,1.417504,373868.000000,14296.000000
1120.867097,1.442004,382616.000000,13828.000000
1124.489840,1.476639,390496.000000,13031.000000
1128.108376,1.527119,399044.000000,11855.000000
1131.722704,1.594860,406288.000000,10327.000000
1135.332826,1.678011,414124.000000,8692.000000
1138.938741,1.760715,420360.000000,7293.000000
1143.740082,1.846836,427236.000000,6079.000000
1147.336181,1.883832,431936.000000,5644.000000
1150.928072,1.890837,436704.000000,5615.000000
1154.515756,1.895721,439676.000000,5590.000000
1158.099233,1.903086,442316.000000,5529.000000
1161.678504,1.905793,444760.000000,5525.000000
1165.253567,1.905848,447392.000000,5557.000000
1168.824423,1.900420,452728.000000,5694.000000
1173.579020,1.908688,458836.000000,5662.000000
1177.140060,1.902891,462588.000000,5785.000000
1180.696893,1.912501,465744.000000,5697.000000
1184.249519,1.908190,469076.000000,5795.000000
1187.797937,1.912977,470920.000000,5754.000000
1191.342149,1.906774,474972.000000,5887.000000
1194.882154,1.903728,479904.000000,5990.000000
1199.595616,1.909573,484864.000000,5971.000000
1203.125804,1.908799,488540.000000,6027.000000
1206.651786,1.907500,494516.000000,6119.000000
1210.173560,1.908330,499592.000000,6170.000000
1213.691128,1.902551,506092.000000,6334.000000
1217.204488,1.901551,518480.000000,6504.000000
1220.713641,1.904769,531812.000000,6622.000000
1224.218588,1.911245,543144.000000,6663.000000
1228.885305,1.906374,559736.000000,6944.000000
1232.380435,1.908863,573168.000000,7070.000000
1235.871358,1.908109,582452.000000,7197.000000
1239.358074,1.911264,589960.000000,7237.000000
1242.840583,1.909420,599556.000000,7386.000000
1246.318885,1.904049,605496.000000,7552.000000
1249.792980,1.901160,610800.000000,7669.000000
1254.418562,1.902921,616560.000000,7710.000000
1257.882841,1.897901,620936.000000,7855.000000
1261.342912,1.899897,624908.000000,7869.000000
1264.798777,1.900141,631140.000000,7943.000000
1268.250434,1.901621,634092.000000,7953.000000
1271.697885,1.900491,639840.000000,8046.000000
1275.141128,1.906343,644328.000000,7994.000000
1278.580165,1.913281,648644.000000,7920.000000
1283.159003,1.919961,654124.000000,7865.000000
1286.588223,1.920877,658088.000000,7896.000000
1290.013236,1.932575,663812.000000,7753.000000
1293.434042,1.939797,665888.000000,7649.000000
1296.850641,1.947008,668540.000000,7553.000000
1300.263033,1.958832,673348.000000,7403.000000
1303.671218,1.968082,676416.000000,7280.000000
1308.208921,1.981948,681284.000000,7102.000000
1311.607290,1.991399,682744.000000,6964.000000
1315.001451,1.998467,686672.000000,6891.000000
1318.391406,2.009226,690208.000000,6757.000000
1321.777154,2.020026,691356.000000,6602.000000
1325.158694,2.028101,693236.000000,6498.000000
1328.536028,2.024812,695416.000000,6568.000000
1331.909155,2.026369,695896.000000,6549.000000
1336.400113,2.034642,698232.000000,6447.000000
1339.763423,2.040713,698616.000000,6361.000000
1343.122526,2.032622,699520.000000,6489.000000
1346.477423,2.036376,698960.000000,6428.000000
1349.828112,2.035095,698852.000000,6446.000000
1353.174594,2.035139,696212.000000,6421.000000
1356.516869,2.030285,694264.000000,6475.000000
1360.966692,2.025019,690664.000000,6520.000000
1364.299151,2.033212,690108.000000,6393.000000
1367.627403,2.032245,689972.000000,6406.000000
1370.951448,2.035179,687384.000000,6339.000000
1374.271286,2.029070,685588.000000,6412.000000
1377.586916,2.024046,679500.000000,6429.000000
1380.898340,2.022106,675208.000000,6417.000000
1384.205557,2.023672,670044.000000,6345.000000
1388.608635,2.021512,662728.000000,6307.000000
1391.906036,2.024158,656840.000000,6213.000000
1395.199229,2.020635,654888.000000,6245.000000
1398.488216,2.027153,652124.000000,6126.000000
1401.772995,2.017922,651956.000000,6256.000000
1405.053567,2.019618,648440.000000,6198.000000
1408.329933,2.020123,645528.000000,6163.000000
1412.691876,2.023993,641584.000000,6071.000000
1415.958425,2.017824,642016.000000,6162.000000
1419.220767,2.022914,643048.000000,6100.000000
1422.478902,2.024469,644192.000000,6089.000000
1425.732830,2.018612,646104.000000,6190.000000
1428.982551,2.030194,645772.000000,6024.000000
1432.228065,2.027085,645636.000000,6066.000000
1435.469372,2.023617,648420.000000,6141.000000
1439.784570,2.025735,650528.000000,6131.000000
1443.016061,2.020482,651304.000000,6213.000000
1446.243345,2.033221,652232.000000,6042.000000
1449.466421,2.033901,652604.000000,6036.000000
1452.685291,2.028841,655304.000000,6132.000000
1455.899953,2.040230,652092.000000,5944.000000
1459.110409,2.040947,651192.000000,5926.000000
1463.384472,2.033128,650688.000000,6029.000000
1466.585111,2.034026,649656.000000,6007.000000
1469.781544,2.036524,648836.000000,5965.000000
1472.973769,2.029783,646124.000000,6033.000000
1476.161787,2.037675,645540.000000,5919.000000
1479.345598,2.042644,641164.000000,5812.000000
1482.525202,2.047313,638840.000000,5729.000000
1485.700600,2.053102,636564.000000,5633.000000
1489.927918,2.052333,631376.000000,5597.000000
1493.093499,2.047622,625792.000000,5608.000000
1496.254873,2.048579,622364.000000,5565.000000
1499.412039,2.047509,619828.000000,5556.000000
1502.564999,2.048525,616136.000000,5510.000000
1505.713752,2.049785,612992.000000,5466.000000
1508.858298,2.051971,608308.000000,5397.000000
1513.044481,2.060435,604304.000000,5258.000000
1516.179211,2.066006,600232.000000,5156.000000
1519.309733,2.064344,595040.000000,5131.000000
1522.436048,2.072512,590620.000000,4998.000000
1525.558157,2.065711,584700.000000,5026.000000
1528.676058,2.080436,579592.000000,4816.000000
1531.789752,2.084735,571988.000000,4706.000000
1534.899240,2.094973,565348.000000,4543.000000
1539.038678,2.102123,555124.000000,4388.000000
1542.138349,2.115402,548880.000000,4208.000000
1545.233813,2.112346,543996.000000,4200.000000
1548.325070,2.118545,536312.000000,4082.000000
1551.412120,2.124328,528856.000000,3972.000000
1554.494963,2.139826,519920.000000,3768.000000
1557.573599,2.138610,511724.000000,3719.000000
1561.671903,2.135683,501180.000000,3667.000000
1564.740722,2.153733,493812.000000,3466.000000
1567.805335,2.152408,486484.000000,3425.000000
1570.865740,2.155306,478016.000000,3343.000000
1573.921939,2.154658,470736.000000,3297.000000
1576.973930,2.166663,462940.000000,3154.000000
1580.021715,2.162346,455600.000000,3135.000000
1584.078883,2.179075,442228.000000,2928.000000
1587.116851,2.170957,434928.000000,2934.000000
1590.150612,2.167246,426524.000000,2902.000000
1593.180167,2.173841,417680.000000,2799.000000
1596.205514,2.176590,409220.000000,2725.000000
1599.226654,2.192834,400340.000000,2568.000000
1602.243587,2.184036,390020.000000,2553.000000
1605.256313,2.186134,383312.000000,2497.000000
1609.266737,2.208692,372056.000000,2301.000000
1612.269646,2.184057,361928.000000,2369.000000
1615.268349,2.195759,355176.000000,2263.000000
1618.262845,2.203849,346344.000000,2166.000000
1621.253133,2.212047,335508.000000,2059.000000
1624.239215,2.199408,326676.000000,2064.000000
1627.221090,2.213197,317936.000000,1946.000000
1631.190378,2.240111,303324.000000,1745.000000
1634.162437,2.230259,296520.000000,1745.000000
1637.130288,2.221708,287740.000000,1727.000000
1640.093932,2.235818,282096.000000,1639.000000
1643.053370,2.226065,273812.000000,1627.000000
1646.008600,2.228812,266404.000000,1573.000000
1648.959623,2.208514,258280.000000,1598.000000
1651.906439,2.225052,250172.000000,1490.000000
1655.828983,2.235818,240100.000000,1395.000000
1658.765983,2.210228,230580.000000,1421.000000
1661.698776,2.212898,222696.000000,1364.000000
1664.627362,2.236503,214104.000000,1242.000000
